"FuMOD" "Fu"
"Gene00023" "1-carboxy-3-chloro-3,4-dihydroxycyclo hexa-1,5-diene dehydrogenase (EC 1.-.-.-)"
"Gene00024" "1-deoxy-D-xylulose 5-phosphate reductoisomerase (EC 1.1.1.267)"
"Gene00025" "1-deoxy-D-xylulose 5-phosphate synthase (EC 2.2.1.7)"
"Gene00026" "1-phosphofructokinase (EC 2.7.1.56)"
"Gene00027" "1-pyrroline-4-hydroxy-2-carboxylate deaminase (EC 3.5.4.22)"
"Gene00028" "1,2-dihydroxycyclohexa-3,5-diene-1-carboxylate dehydrogenase (EC 1.3.1.25)"
"Gene00029" "1,2-epoxyphenylacetyl-CoA isomerase (EC 5.3.3.18)"
"Gene00030" "1,2-phenylacetyl-CoA epoxidase, subunit A (EC 1.14.13.149)"
"Gene00031" "1,2-phenylacetyl-CoA epoxidase, subunit B (EC 1.14.13.149)"
"Gene00032" "1,2-phenylacetyl-CoA epoxidase, subunit C (EC 1.14.13.149)"
"Gene00033" "1,2-phenylacetyl-CoA epoxidase, subunit D (EC 1.14.13.149)"
"Gene00034" "1,2-phenylacetyl-CoA epoxidase, subunit E (EC 1.14.13.149)"
"Gene00035" "1,4-alpha-glucan (glycogen) branching enzyme, GH-13-type (EC 2.4.1.18)"
"Gene00036" "1,4-alpha-glucan branching enzyme (EC 2.4.1.18)"
"Gene00037" "1,4-dihydroxy-2-naphthoyl-CoA hydrolase (EC 3.1.2.28) in phylloquinone biosynthesis"
"Gene00038" "1,4-lactonase (EC 3.1.1.25)"
"Gene00039" "1,5-anhydro-D-fructose reductase (1,5-anhydro-D-mannitol-forming) (EC 1.1.1.292)"
"Gene00040" "1,6-anhydro-N-acetylmuramyl-L-alanine amidase"
"Gene00041" "16 kDa heat shock protein A"
"Gene00042" "16S ribosomal RNA m(5)C 967 methyltransferase"
"Gene00043" "16S rRNA (cytidine(1402)-2'-O)-methyltransferase (EC 2.1.1.198)"
"Gene00044" "16S rRNA (cytosine(1402)-N(4))-methyltransferase (EC 2.1.1.199)"
"Gene00045" "16S rRNA (cytosine(967)-C(5))-methyltransferase (EC 2.1.1.176)"
"Gene00046" "16S rRNA (guanine(1207)-N(2))-methyltransferase (EC 2.1.1.172)"
"Gene00047" "16S rRNA (guanine(527)-N(7))-methyltransferase (EC 2.1.1.170)"
"Gene00048" "16S rRNA (guanine(966)-N(2))-methyltransferase (EC 2.1.1.171)"
"Gene00049" "16S rRNA (uracil(1498)-N(3))-methyltransferase (EC 2.1.1.193)"
"Gene00050" "16S rRNA processing protein RimM"
"Gene00051" "17 kDa antigen"
"Gene00052" "18 : Unknown function"
"Gene00053" "2-acylglycerophosphoethanolamine acyltransferase (EC 2.3.1.40) / Acyl-[acyl-carrier-protein] synthetase (EC 6.2.1.20)"
"Gene00054" "2-amino-3-carboxymuconate-6-semialdehyde decarboxylase (EC 4.1.1.45)"
"Gene00055" "2-amino-3-ketobutyrate coenzyme A ligase (EC 2.3.1.29)"
"Gene00056" "2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase (EC 2.7.6.3)"
"Gene00057" "2-aminoethylphosphonate ABC transporter ATP-binding protein (TC 3.A.1.9.1)"
"Gene00058" "2-aminoethylphosphonate ABC transporter permease protein"
"Gene00059" "2-aminoethylphosphonate ABC transporter substrate-binding protein"
"Gene00060" "2-aminoethylphosphonate:pyruvate aminotransferase (EC 2.6.1.37)"
"Gene00061" "2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase (EC 4.6.1.12)"
"Gene00062" "2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase (EC 2.7.7.60) / 2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase (EC 4.6.1.12)"
"Gene00063" "2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase (EC 1.1.1.127) @ 2-deoxy-D-gluconate 3-dehydrogenase (EC 1.1.1.125)"
"Gene00064" "2-dehydro-3-deoxygalactonokinase (EC 2.7.1.58)"
"Gene00065" "2-dehydro-3-deoxyglucarate aldolase (EC 4.1.2.20)"
"Gene00066" "2-dehydro-3-deoxygluconokinase (EC 2.7.1.45)"
"Gene00067" "2-dehydro-3-deoxyphosphogalactonate aldolase (EC 4.1.2.21)"
"Gene00068" "2-dehydro-3-deoxyphosphogalactonate aldolase (EC 4.1.2.21) (6-phospho-2-dehydro-3-deoxygalactonate aldolase) (2- oxo-3-deoxygalactonate 6-phosphate aldolase) / Galactonate dehydratase (EC 4.2.1.6)"
"Gene00069" "2-dehydropantoate 2-reductase (EC 1.1.1.169)"
"Gene00070" "2-dehydrotetronate isomerase (EC 5.3.1.35)"
"Gene00071" "2-deoxy-D-gluconate 3-dehydrogenase (EC 1.1.1.125)"
"Gene00072" "2-deoxyglucose-6-phosphate phosphatase 1 (EC 3.1.3.68)"
"Gene00073" "2-desacetyl-2-hydroxyethyl bacteriochlorophyllide A dehydrogenase BchC"
"Gene00074" "2-haloalkanoic acid dehalogenase"
"Gene00075" "2-haloalkanoic acid dehalogenase (EC 3.8.1.2)"
"Gene00076" "2-heptaprenyl-1,4-naphthoquinone methyltransferase MenG (EC 2.1.1.163)"
"Gene00077" "2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)"
"Gene00078" "2-hydroxy-6-oxo-6-phenylhexa-2,4-dienoate hydrolase (EC 3.7.1.-)"
"Gene00079" "2-hydroxychromene-2-carboxylate isomerase"
"Gene00080" "2-hydroxychromene-2-carboxylate isomerase family protein"
"Gene00081" "2-hydroxychromene-2-carboxylate isomerase/DsbA- like thioredoxin domain"
"Gene00082" "2-hydroxychromene-2-carboxylate isomerase/DsbA-like thioredoxin domain"
"Gene00083" "2-hydroxycyclohexanecarboxyl-CoA dehydrogenase"
"Gene00084" "2-hydroxyhepta-2,4-diene-1,7-dioate isomerase (EC 5.3.3.-) / 5-carboxymethyl-2-oxo-hex-3- ene-1,7-dioate decarboxylase (EC 4.1.1.68)"
"Gene00085" "2-hydroxymuconate tautomerase-like protein"
"Gene00086" "2-hydroxymuconic semialdehyde hydrolase (EC 3.7.1.9)"
"Gene00087" "2-hydroxymuconic semialdehyde hydrolase( EC:3.7.1.9 )"
"Gene00088" "2-isopropylmalate synthase (EC 2.3.3.13)"
"Gene00089" "2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate synthase I alpha (EC 2.5.1.54)"
"Gene00090" "2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate synthase II (EC 2.5.1.54)"
"Gene00091" "2-Keto-3-deoxy-D-manno-octulosonate-8-phosphate synthase (EC 2.5.1.55)"
"Gene00092" "2-keto-3-deoxy-L-fuconate dehydrogenase"
"Gene00093" "2-keto-3-deoxygluconate permease (KDG permease)"
"Gene00094" "2-keto-4-pentenoate hydratase (EC 4.2.1.-)"
"Gene00095" "2-keto-4-pentenoate hydratase (EC 4.2.1.80)"
"Gene00096" "2-keto-4-pentenoate hydratase/2-oxohepta-3-ene-1,7-dioic acid hydratase"
"Gene00097" "2-keto-4-pentenoate hydratase/2-oxohepta-3-ene-1,7-dioic acid hydratase (catechol pathway)"
"Gene00098" "2-Keto-D-gluconate dehydrogenase (EC 1.1.99.4), membrane-bound, cytochrome c"
"Gene00099" "2-Keto-D-gluconate dehydrogenase (EC 1.1.99.4), membrane-bound, flavoprotein"
"Gene00100" "2-ketocyclohexanecarboxyl-CoA hydrolase"
"Gene00101" "2-ketoglutaric semialdehyde dehydrogenase (EC 1.2.1.26)"
"Gene00102" "2-methoxy-6-polyprenyl-1,4-benzoquinol methylase (EC 2.1.1.201)"
"Gene00103" "2-methylaconitate isomerase"
"Gene00104" "2-methylcitrate dehydratase (2-methyl-trans-aconitate forming) (EC 4.2.1.117)"
"Gene00105" "2-methylcitrate dehydratase (EC 4.2.1.79)"
"Gene00106" "2-Methylcitrate dehydratase AcnD"
"Gene00107" "2-methylcitrate synthase (EC 2.3.3.5)"
"Gene00108" "2-methylfumaryl-CoA hydratase (EC 4.2.1.148)"
"Gene00109" "2-nitropropane dioxygenase"
"Gene00110" "2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase (EC 1.14.13.-)"
"Gene00111" "2-octaprenyl-6-methoxyphenol hydroxylase (EC 1.14.13.-)"
"Gene00112" "2-oxo-4-hydroxy-4-carboxy--5-ureidoimidazoline (OHCU) decarboxylase"
"Gene00113" "2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline (OHCU) decarboxylase (EC 4.1.1.97)"
"Gene00114" "2-oxo-hepta-3-ene-1,7-dioic acid hydratase (EC 4.2.-.-)"
"Gene00115" "2-Oxobutyrate oxidase, putative"
"Gene00116" "2-oxoglutarate dehydrogenase E1 component (EC 1.2.4.2)"
"Gene00117" "2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase, beta subunit (EC 1.2.7.-)"
"Gene00118" "2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase, gamma subunit (EC 1.2.7.-) / 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase, alpha subunit (EC 1.2.7.-)"
"Gene00119" "2-polyprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase"
"Gene00120" "2-polyprenyl-6-methoxyphenol hydroxylase"
"Gene00121" "2-polyprenyl-6-methoxyphenol hydroxylase and related FAD-dependent oxidoreductases"
"Gene00122" "2-polyprenylphenol hydroxylase and related flavodoxin oxidoreductases"
"Gene00123" "2-pyrone-4,6-dicarboxylic acid hydrolase (EC 3.1.1.57)"
"Gene00124" "2-vinyl bacteriochlorophyllide hydratase BchF (EC 4.2.1.-)"
"Gene00125" "2,3-bisphosphoglycerate-independent phosphoglycerate mutase (EC 5.4.2.12)"
"Gene00126" "2,3-butanediol dehydrogenase, R-alcohol forming, (R)- and (S)-acetoin-specific (EC 1.1.1.4)"
"Gene00127" "2,3-butanediol dehydrogenase, S-alcohol forming, (S)-acetoin-specific (EC 1.1.1.76)"
"Gene00128" "2,3-diaminopropionate for siderophore biosynthesis protein SbnA"
"Gene00129" "2,3-diaminopropionate for siderophore biosynthesis protein SbnB"
"Gene00130" "2,3-dihydroxybenzoate-AMP ligase (EC 2.7.7.58)"
"Gene00131" "2,3-dihydroxybenzoate-AMP ligase (EC 2.7.7.58) [pyochelin] siderophore @ 2,3-dihydroxybenzoate-AMP ligase (EC 2.7.7.58) of siderophore biosynthesis"
"Gene00132" "2,3-dihydroxybiphenyl 1,2-dioxygenase (EC 1.13.11.39)"
"Gene00133" "2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase (EC 2.3.1.89)"
"Gene00134" "2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase (EC 2.3.1.117)"
"Gene00135" "2,4-dienoyl-CoA reductase [NADPH] (EC 1.3.1.34)"
"Gene00136" "2,4-dienoyl-CoA reductase, mitochondrial precursor (EC 1.3.1.34)"
"Gene00137" "2,4-dihydroxyhept-2-ene-1,7-dioic acid aldolase (EC 4.1.2.52)"
"Gene00138" "2,4-dihydroxyhept-2-ene-1,7-dioic acid aldolase (EC 4.1.2.n4)"
"Gene00139" "2,4-diketo-3-deoxy-L-fuconate hydrolase"
"Gene00140" "2,4'-dihydroxyacetophenone dioxygenase"
"Gene00141" "2,5-diamino-6-ribosylamino-pyrimidinone 5-phosphate reductase (EC 1.1.1.302) homolog"
"Gene00142" "2,5-didehydrogluconate reductase (2-dehydro-D-gluconate-forming) (EC 1.1.1.274)"
"Gene00143" "2,5-dioxovalerate dehydrogenase (EC 1.2.1.26)"
"Gene00144" "2'-5' RNA ligase"
"Gene00145" "2',3'-cyclic-nucleotide 2'-phosphodiesterase (EC 3.1.4.16)"
"Gene00146" "2',3'-cyclic-nucleotide 2'-phosphodiesterase (EC 3.1.4.16) / 3'-nucleotidase (EC 3.1.3.6)"
"Gene00147" "2',3'-cyclic-nucleotide 2'-phosphodiesterase, Bsub YmdB"
"Gene00148" "23S ribosomal RNA methyltransferase"
"Gene00149" "23S rRNA (adenine(2030)-N(6))-methyltransferase (EC 2.1.1.266)"
"Gene00150" "23S rRNA (adenine(2503)-C(2))-methyltransferase @ tRNA (adenine(37)-C(2))-methyltransferase (EC 2.1.1.192)"
"Gene00151" "23S rRNA (guanosine(2251)-2'-O)-methyltransferase (EC 2.1.1.185)"
"Gene00152" "23S rRNA (pseudouridine(1915)-N(3))-methyltransferase (EC 2.1.1.177)"
"Gene00153" "23S rRNA (uracil(1939)-C(5))-methyltransferase (EC 2.1.1.190)"
"Gene00154" "23S rRNA (uridine(2552)-2'-O)-methyltransferase (EC 2.1.1.166)"
"Gene00155" "27kDa outer membrane protein"
"Gene00156" "3-(3-hydroxyphenyl)propanoate hydroxylase (EC 1.14.13.127)"
"Gene00157" "3-carboxy-cis,cis-muconate cycloisomerase (EC 5.5.1.2)"
"Gene00158" "3-carboxyethylcatechol 2,3-dioxygenase (EC 1.13.11.16)"
"Gene00159" "3-dehydroquinate dehydratase I (EC 4.2.1.10)"
"Gene00160" "3-dehydroquinate dehydratase II (EC 4.2.1.10)"
"Gene00161" "3-dehydroquinate synthase (EC 4.2.3.4)"
"Gene00162" "3-dehydroshikimate dehydratase (EC 4.2.1.118)"
"Gene00163" "3-demethylubiquinol 3-O-methyltransferase (EC 2.1.1.64) @ 2-polyprenyl-6-hydroxyphenyl methylase (EC 2.1.1.222)"
"Gene00164" "3-demethylubiquinone-9 3-methyltransferase"
"Gene00165" "3-demethylubiquinone-9 3-methyltransferase domain protein"
"Gene00166" "3-deoxy-D-manno-octulosonic acid transferase (EC 2.4.99.12)(EC 2.4.99.13)"
"Gene00167" "3-deoxy-manno-octulosonate cytidylyltransferase (EC 2.7.7.38)"
"Gene00168" "3-hydroxy-2-methylpyridine-4,5-dicarboxylate 4-decarboxylase (EC 4.1.1.51)"
"Gene00169" "3-hydroxy-D-aspartate aldolase (EC 4.1.3.41)"
"Gene00170" "3-hydroxyacyl-[acyl-carrier-protein] dehydratase, FabA form (EC 4.2.1.59) @ Trans-2-decenoyl-[acyl-carrier-protein] isomerase (EC 5.3.3.14)"
"Gene00171" "3-hydroxyacyl-[acyl-carrier-protein] dehydratase, FabZ form (EC 4.2.1.59)"
"Gene00172" "3-hydroxyacyl-CoA dehydrogenase"
"Gene00173" "3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35)"
"Gene00174" "3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35) @ 17hydroxysteroid dehydrogenase type 10 (HSD10)-like"
"Gene00175" "3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35) / Enoyl CoA hydratase (EC 4.2.1.17)"
"Gene00176" "3-hydroxyacyl-CoA dehydrogenase [fadN-fadA-fadE operon] (EC 1.1.1.35) / Enoyl-CoA hydratase [fadN-fadA-fadE operon] (EC 4.2.1.17)"
"Gene00177" "3-hydroxyadipyl-CoA dehydrogenase"
"Gene00178" "3-hydroxybutyrate dehydrogenase (EC 1.1.1.30)"
"Gene00179" "3-hydroxybutyryl-CoA dehydratase (EC 4.2.1.55)"
"Gene00180" "3-hydroxybutyryl-CoA dehydrogenase (EC 1.1.1.157)"
"Gene00181" "3-hydroxybutyryl-CoA dehydrogenase (EC 1.1.1.157); 3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.35)"
"Gene00182" "3-hydroxyisobutyrate dehydrogenase (EC 1.1.1.31)"
"Gene00183" "3-hydroxyisobutyrate dehydrogenase and related beta-hydroxyacid dehydrogenases"
"Gene00184" "3-hydroxyisobutyrate dehydrogenase family protein"
"Gene00185" "3-hydroxyisobutyryl-CoA hydrolase (EC 3.1.2.4)"
"Gene00186" "3-isopropylmalate dehydratase large subunit (EC 4.2.1.33)"
"Gene00187" "3-isopropylmalate dehydratase small subunit (EC 4.2.1.33)"
"Gene00188" "3-isopropylmalate dehydrogenase (EC 1.1.1.85)"
"Gene00189" "3-keto-5-aminohexanoate cleavage enzyme (EC 2.3.1.247)"
"Gene00190" "3-ketoacyl-CoA thiolase"
"Gene00191" "3-ketoacyl-CoA thiolase (EC 2.3.1.16)"
"Gene00192" "3-ketoacyl-CoA thiolase (EC 2.3.1.16) @ Acetyl-CoA acetyltransferase (EC 2.3.1.9)"
"Gene00193" "3-ketoacyl-CoA thiolase 2 [fadN-fadA-fadE operon] (EC 2.3.1.16)"
"Gene00194" "3-mercaptopyruvate sulfurtransferase (EC 2.8.1.2)"
"Gene00195" "3-methyl-2-oxobutanoate hydroxymethyltransferase (EC 2.1.2.11)"
"Gene00196" "3-methylitaconate Delta isomerase (EC 5.3.3.6)"
"Gene00197" "3-methylmercaptopropionyl-CoA dehydrogenase (DmdC)"
"Gene00198" "3-methylmercaptopropionyl-CoA ligase (EC 6.2.1.44) of DmdB1 type"
"Gene00199" "3-methylmercaptopropionyl-CoA ligase (EC 6.2.1.44) of DmdB2 type"
"Gene00200" "3-oxo-5,6-dehydrosuberyl-CoA semialdehyde dehydrogenase (EC 1.2.1.91) / 2-oxepin-2(3H)-ylideneacetyl-CoA hydrolase (EC 3.3.2.12)"
"Gene00201" "3-oxo-tetronate 4-phosphate decarboxylase"
"Gene00202" "3-oxo-tetronate kinase"
"Gene00203" "3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100)"
"Gene00204" "3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100), FadG"
"Gene00205" "3-oxoacyl-[acyl-carrier-protein] synthase (EC 2.3.1.41)"
"Gene00206" "3-oxoacyl-[acyl-carrier-protein] synthase II (EC 2.3.1.41)"
"Gene00207" "3-oxoacyl-[acyl-carrier-protein] synthase III (EC 2.3.1.41)"
"Gene00208" "3-oxoacyl-[acyl-carrier-protein] synthase-like protein Pden_1243"
"Gene00209" "3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)"
"Gene00210" "3-oxoacyl-[acyl-carrier-protein] synthase, KASII (EC 2.3.1.179)"
"Gene00211" "3-oxoacyl-[acyl-carrier-protein] synthase, KASII (EC 2.3.1.41)"
"Gene00212" "3-oxoacyl-[acyl-carrier-protein] synthase, KASIII (EC 2.3.1.180)"
"Gene00213" "3-oxoadipate CoA-transferase subunit A (EC 2.8.3.6)"
"Gene00214" "3-oxoadipate CoA-transferase subunit A (EC 2.8.3.6); Glutaconate CoA-transferase subunit A (EC 2.8.3.12)"
"Gene00215" "3-oxoadipate CoA-transferase subunit B (EC 2.8.3.6)"
"Gene00216" "3-oxoadipate CoA-transferase subunit B (EC 2.8.3.6); Glutaconate CoA-transferase subunit B (EC 2.8.3.12)"
"Gene00217" "3-oxoadipate enol-lactone hydrolase"
"Gene00218" "3-oxoadipate enol-lactone hydrolase/4-carboxymuconolactone decarboxylase"
"Gene00219" "3-oxoadipyl-CoA thiolase (EC 2.3.1.174)"
"Gene00220" "3-oxoadipyl-CoA thiolase (EC 2.3.1.174) @ 3-oxo-5,6-dehydrosuberyl-CoA thiolase (EC 2.3.1.223)"
"Gene00221" "3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19)"
"Gene00222" "3-polyprenyl-4-hydroxybenzoate carboxy-lyase (EC 4.1.1.-)"
"Gene00223" "3-polyprenyl-4-hydroxybenzoate carboxy-lyase (EC 4.1.1.98)"
"Gene00224" "3,4-dihydroxy-2-butanone 4-phosphate synthase (EC 4.1.99.12) / GTP cyclohydrolase II (EC 3.5.4.25)"
"Gene00225" "3,4-dihydroxy-2-butanone 4-phosphate synthase / GTP cyclohydrolase II (EC 3.5.4.25)"
"Gene00226" "3,4-dihydroxyphenylacetate 2,3-dioxygenase (EC 1.13.11.15)"
"Gene00227" "3,6-anhydro-alpha-L-galactonate cycloisomerase (EC 5.5.1.25)"
"Gene00228" "3,6-anhydro-alpha-L-galactose dehydrogenase (EC 1.2.1.92)"
"Gene00229" "3'-5' exonuclease domain similar to epsilon subunit of DNA polymerase III, PA3232-type"
"Gene00230" "3'-phosphatase, 5'-polynucleotide kinase, phage-associated"
"Gene00231" "3'-phosphoadenosine 5'-phosphosulfate sulfotransferase (PAPS reductase)/FAD synthetase and related enzymes"
"Gene00232" "3'-phosphoadenosine 5'-phosphosulfate sulfurtransferase DndC"
"Gene00233" "3'-to-5' exoribonuclease RNase R"
"Gene00234" "3',5'-cyclic-nucleotide phosphodiesterase (EC 3.1.4.17)"
"Gene00235" "3'(2'),5'-bisphosphate nucleotidase (EC 3.1.3.7)"
"Gene00236" "33 kDa chaperonin HslO"
"Gene00237" "3D-(3,5/4)-trihydroxycyclohexane-1,2-dione hydrolase (EC 3.7.1.22)"
"Gene00238" "4-(hydroxymethyl)-2-furancarboxaldehyde-phosphate synthase"
"Gene00239" "4-(hydroxymethyl)benzenesulfonate dehydrogenase (EC 1.1.1.257)"
"Gene00240" "4-[[4-(2-aminoethyl)phenoxy]-methyl]-2-furanmethanamine-glutamate synthase"
"Gene00241" "4-alpha-glucanotransferase (amylomaltase) (EC 2.4.1.25)"
"Gene00242" "4-alpha-glucanotransferase (amylomaltase) (EC 2.4.1.25) / Malto-oligosyltrehalose synthase (EC 5.4.99.15)"
"Gene00243" "4-amino-6-deoxy-N-Acetyl-D-hexosaminyl-(Lipid carrier) acetyltrasferase"
"Gene00244" "4-aminobutyraldehyde dehydrogenase (EC 1.2.1.19)"
"Gene00245" "4-aminobutyrate aminotransferase (EC 2.6.1.19)"
"Gene00246" "4-aminobutyrate aminotransferase and related aminotransferases"
"Gene00247" "4-carboxy-4-hydroxy-2-oxoadipate aldolase (EC 4.1.3.17)"
"Gene00248" "4-carboxymuconolactone decarboxylase (EC 4.1.1.44)"
"Gene00249" "4-carboxymuconolactone decarboxylase domain/alkylhydroperoxidase AhpD family core domain protein"
"Gene00250" "4-coumarate--CoA ligase"
"Gene00251" "4-coumarate--CoA ligase (EC 6.2.1.12)"
"Gene00252" "4-cresol dehydrogenase [hydroxylating] flavoprotein subunit (EC 1.17.99.1)"
"Gene00253" "4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase (EC 5.3.1.17)"
"Gene00254" "4-diphosphocytidyl-2-C-methyl-D-erythritol kinase (EC 2.7.1.148)"
"Gene00255" "4-hydroxy-2-oxoglutarate aldolase (EC 4.1.3.16) @ 2-dehydro-3-deoxyphosphogluconate aldolase (EC 4.1.2.14)"
"Gene00256" "4-hydroxy-3-methylbut-2-enyl diphosphate reductase (EC 1.17.1.2)"
"Gene00257" "4-hydroxy-3-methylbut-2-enyl diphosphate reductase (EC 1.17.7.4)"
"Gene00258" "4-hydroxy-tetrahydrodipicolinate reductase (EC 1.17.1.8)"
"Gene00259" "4-hydroxy-tetrahydrodipicolinate synthase (EC 4.3.3.7)"
"Gene00260" "4-hydroxybenzoate polyprenyltransferase (EC 2.5.1.39)"
"Gene00261" "4-hydroxybenzoate transporter"
"Gene00262" "4-hydroxybenzoyl-CoA reductase, gamma subunit (EC 1.3.99.20)"
"Gene00263" "4-hydroxybenzoyl-CoA thioesterase family active site"
"Gene00264" "4-hydroxybutyrate coenzyme A transferase"
"Gene00265" "4-hydroxyphenylacetate 3-monooxygenase (EC 1.14.14.9)"
"Gene00266" "4-hydroxyphenylacetate 3-monooxygenase, reductase component (EC 1.6.8.-)"
"Gene00267" "4-hydroxyphenylpyruvate dioxygenase (EC 1.13.11.27)"
"Gene00268" "4-hydroxyproline ABC transporter, ATP-binding protein"
"Gene00269" "4-hydroxyproline ABC transporter, permease protein 2"
"Gene00270" "4-hydroxyproline ABC transporter, permease protein1"
"Gene00271" "4-hydroxyproline ABC transporter, substrate-binding protein"
"Gene00272" "4-hydroxyproline epimerase (EC 5.1.1.8)"
"Gene00273" "4-hydroxythreonine-4-phosphate dehydrogenase (EC 1.1.1.262)"
"Gene00274" "4-oxalmesaconate hydratase (EC 4.2.1.83)"
"Gene00275" "4-oxalocrotonate decarboxylase"
"Gene00276" "4-oxalocrotonate tautomerase"
"Gene00277" "4-oxalomesaconate hydratase (EC 4.2.1.83)"
"Gene00278" "4-oxalomesaconate tautomerase (EC 5.3.2.8)"
"Gene00279" "4,5-dihydroxyphthalate decarboxylase (EC 4.1.1.55)"
"Gene00280" "4'-phosphopantetheinyl transferase (EC 2.7.8.-)"
"Gene00281" "40-residue YVTN family beta-propeller repeat protein"
"Gene00282" "4Fe-4S dicluster fused with DUF3470"
"Gene00283" "4Fe-4S ferredoxin iron-sulfur binding domain-containing protein"
"Gene00284" "4Fe-4S ferredoxin, iron-sulfur binding"
"Gene00285" "4Fe-4S ferredoxin, nitrogenase-associated"
"Gene00286" "5-(aminomethyl)-3-furanmethanol phosphate kinase"
"Gene00287" "5-aminolevulinate synthase (EC 2.3.1.37)"
"Gene00288" "5-aminovalerate aminotransferase (EC 2.6.1.48) / Gamma-aminobutyrate:alpha-ketoglutarate aminotransferase (EC 2.6.1.19)"
"Gene00289" "5-carboxymethyl-2-hydroxymuconate delta-isomerase (EC 5.3.3.10)"
"Gene00290" "5-carboxymethyl-2-hydroxymuconate semialdehyde dehydrogenase (EC 1.2.1.60)"
"Gene00291" "5-dehydro-4-deoxyglucarate dehydratase (EC 4.2.1.41)"
"Gene00292" "5-deoxy-glucuronate isomerase (EC 5.3.1.30)"
"Gene00293" "5-exo-alcohol dehydrogenase( EC:1.1.1.- )"
"Gene00294" "5-formyltetrahydrofolate cyclo-ligase (EC 6.3.3.2)"
"Gene00295" "5-hydroxyisourate hydrolase (EC 3.5.2.17)"
"Gene00296" "5-Hydroxyisourate Hydrolase (HIUase)"
"Gene00297" "5-Hydroxyisourate Hydrolase (HIUase) (EC 3.5.2.17)"
"Gene00298" "5-keto-2-deoxygluconokinase (EC 2.7.1.92) / uncharacterized domain"
"Gene00299" "5-keto-D-gluconate 5-reductase (EC 1.1.1.69)"
"Gene00300" "5-methyl-dCTP pyrophosphohydrolase (EC 3.6.1.-)"
