"Annotation" "Fasta-name" "Occurence" "AverageSize(bp)"
"3-hydroxybutyryl-CoA dehydratase (EC 4.2.1.55)" "Gene00179" "208" "481.914893617021"
"3-mercaptopyruvate sulfurtransferase (EC 2.8.1.2)" "Gene00194" "228" "848.46"
"3-oxoacyl-[acyl-carrier-protein] synthase, KASI (EC 2.3.1.41)" "Gene00209" "230" "1227.66"
"3-phosphoshikimate 1-carboxyvinyltransferase (EC 2.5.1.19)" "Gene00221" "230" "1348.98"
"3'-to-5' exoribonuclease RNase R" "Gene00233" "228" "2323.68"
"33 kDa chaperonin HslO" "Gene00236" "230" "1023.9"
"4-[[4-(2-aminoethyl)phenoxy]-methyl]-2-furanmethanamine-glutamate synthase" "Gene00240" "207" "1027.17391304348"
"4-diphosphocytidyl-2-C-methyl-D-erythritol kinase (EC 2.7.1.148)" "Gene00254" "228" "883.92"
"4-hydroxy-2-oxoglutarate aldolase (EC 4.1.3.16) @ 2-dehydro-3-deoxyphosphogluconate aldolase (EC 4.1.2.14)" "Gene00255" "226" "630.96"
"4-hydroxybenzoate polyprenyltransferase (EC 2.5.1.39)" "Gene00260" "229" "936.9"
"5-(aminomethyl)-3-furanmethanol phosphate kinase" "Gene00286" "204" "607.565217391304"
"5-methyltetrahydrofolate--homocysteine methyltransferase (EC 2.1.1.13)" "Gene00303" "229" "3752.7"
"5,6,7,8-tetrahydromethanopterin hydro-lyase (EC 4.2.1.147) @ Formaldehyde activating enzyme" "Gene00311" "207" "513.326086956522"
"5'-nucleotidase SurE (EC 3.1.3.5)" "Gene00316" "225" "756.18"
"A/G-specific adenine glycosylase (EC 3.2.2.-)" "Gene00337" "228" "1255.02"
"ABC transporter involved in cytochrome c biogenesis, ATPase component CcmA" "Gene00357" "224" "640.32"
"ABC transporter involved in cytochrome c biogenesis, CcmB subunit" "Gene00358" "231" "668.1"
"ABC transporter, ATP-binding protein (cluster 9, phospholipid)" "Gene00382" "231" "828.72"
"ABC transporter, fused permease protein" "Gene00393" "222" "2531.16"
"ABC transporter, permease protein (cluster 9, phospholipid)" "Gene00409" "226" "1150.8"
"AbrB protein" "Gene00497" "204" "1051.82608695652"
"Acetolactate synthase small subunit (EC 2.2.1.6)" "Gene00517" "229" "538.56"
"Acetyl-coenzyme A carboxyl transferase alpha chain (EC 6.4.1.2)" "Gene00532" "227" "961.08"
"Acetyl-coenzyme A carboxyl transferase beta chain (EC 6.4.1.2)" "Gene00534" "223" "899.16"
"Acyclic carotenoid 1,2-hydratase (EC 4.2.1.131)" "Gene00559" "201" "849.666666666667"
"Acyl-CoA thioesterase II (EC 3.1.2.-)" "Gene00592" "229" "876"
"Adenosylhomocysteinase (EC 3.3.1.1)" "Gene00629" "227" "1406.04"
"Adenylosuccinate lyase (EC 4.3.2.2) @ SAICAR lyase (EC 4.3.2.2)" "Gene00640" "229" "1309.8"
"Adenylyl-sulfate reductase [thioredoxin] (EC 1.8.4.10)" "Gene00643" "206" "813.782608695652"
"Aerobic cobaltochelatase CobS subunit (EC 6.6.1.2)" "Gene00662" "231" "984.36"
"Aerobic cobaltochelatase CobT subunit (EC 6.6.1.2)" "Gene00663" "228" "1905.78"
"Alanyl-tRNA synthetase (EC 6.1.1.7)" "Gene00680" "225" "2681.76"
"Alkanesulfonate ABC transporter ATP-binding protein SsuB" "Gene00718" "206" "816.652173913043"
"Alpha-amylase (EC 3.2.1.1)" "Gene00750" "214" "3381.97826086957"
"Alpha,alpha-trehalose-phosphate synthase [UDP-forming] (EC 2.4.1.15)" "Gene00773" "210" "1432.56"
"Amidophosphoribosyltransferase (EC 2.4.2.14)" "Gene00805" "230" "1485.66"
"Anhydro-N-acetylmuramic acid kinase (EC 2.7.1.170)" "Gene00860" "228" "1136.04"
"Anthranilate phosphoribosyltransferase (EC 2.4.2.18)" "Gene00865" "230" "1018.32"
"Anthranilate synthase, aminase component (EC 4.1.3.27)" "Gene00869" "227" "1521.24"
"ApaG protein" "Gene00893" "231" "393"
"Apolipoprotein N-acyltransferase / Copper homeostasis protein CutE" "Gene00894" "230" "1692.12"
"Arginyl-tRNA--protein transferase (EC 2.3.2.8)" "Gene00920" "230" "748.56"
"Aspartate-semialdehyde dehydrogenase (EC 1.2.1.11)" "Gene00962" "227" "1035.18"
"Aspartokinase (EC 2.7.2.4)" "Gene00966" "228" "1237.2"
"Aspartyl-tRNA(Asn) amidotransferase subunit C (EC 6.3.5.6) @ Glutamyl-tRNA(Gln) amidotransferase subunit C (EC 6.3.5.7)" "Gene00971" "230" "288"
"ATP phosphoribosyltransferase (EC 2.4.2.17) => HisGl" "Gene00978" "230" "987.66"
"ATP synthase alpha chain (EC 3.6.3.14)" "Gene00979" "230" "1530.54"
"ATP synthase beta chain (EC 3.6.3.14)" "Gene00981" "231" "1456.56"
"ATP synthase delta chain (EC 3.6.3.14)" "Gene00982" "225" "577.2"
"ATP synthase gamma chain (EC 3.6.3.14)" "Gene00989" "228" "886.8"
"ATP-dependent Clp protease adaptor protein ClpS" "Gene00996" "227" "393.78"
"ATP-dependent Clp protease ATP-binding subunit ClpA" "Gene00997" "225" "2484.66"
"ATP-dependent DNA helicase RecG (EC 3.6.4.12)" "Gene01009" "227" "2172.06"
"ATP-DEPENDENT PROTEASE SUBUNIT" "Gene01030" "230" "891.78"
"ATP-dependent protease subunit HslV (EC 3.4.25.2)" "Gene01031" "231" "563.82"
"ATP-dependent RNA helicase Atu4171" "Gene01033" "229" "1720.26"
"ATP/GTP-binding site motif A" "Gene01043" "226" "872.58"
"Bacterial ribosome SSU maturation protein RimP" "Gene01077" "230" "738.3"
"Bacterioferritin (EC 1.16.3.1)" "Gene01080" "229" "497.22"
"Benzoate catabolism regulator with shikimate kinase domain" "Gene01099" "207" "924.717391304348"
"Beta-(1-->2)glucan export ATP-binding/permease protein NdvA (EC 3.6.3.42)" "Gene01107" "230" "1779.36"
"beta-N-acetylglucosaminidase (EC 3.2.1.52)" "Gene01134" "226" "1021.02"
"beta-ribofuranosylaminobenzene 5'-phosphate synthase (EC 2.4.2.54)" "Gene01137" "205" "1046.60869565217"
"Biotin synthase related domain containing protein" "Gene01158" "223" "1241.04255319149"
"Bis-ABC ATPase SMa0036" "Gene01169" "226" "1623"
"Bis-ABC ATPase Uup" "Gene01171" "229" "1819.08"
"Bll0161 protein" "Gene01180" "227" "914.5625"
"Bll0480 protein" "Gene01184" "228" "1061.4"
"Bll2457 protein" "Gene01199" "228" "932.58"
"Bll3788 protein" "Gene01212" "214" "1069.375"
"Bll4589 protein" "Gene01221" "227" "795.36"
"Bll5514 protein" "Gene01245" "220" "1631.32653061224"
"Bll5582 protein" "Gene01250" "208" "329.804347826087"
"Bll7889 protein" "Gene01293" "226" "399.06"
"Bsl2560 protein" "Gene01355" "220" "256.897959183673"
"Capsular polysaccharide biosynthesis fatty acid synthase WcbR" "Gene01406" "205" "7298.80434782609"
"Capsular polysaccharide export system protein KpsS" "Gene01416" "209" "1310.54347826087"
"Carbamoyl-phosphate synthase large chain (EC 6.3.5.5)" "Gene01420" "229" "3475.62"
"Carbonic anhydrase, gamma class (EC 4.2.1.1) / Carbonic anhydrase, gamma class (EC 4.2.1.1)" "Gene01446" "202" "1026.66666666667"
"CarD-like transcriptional regulator" "Gene01458" "222" "594.18"
"CCA tRNA nucleotidyltransferase (EC 2.7.7.72)" "Gene01496" "228" "1251.78"
"Cell division protein FtsA" "Gene01521" "228" "1326.18"
"Cell division protein FtsQ" "Gene01526" "229" "916.38"
"Cell division trigger factor (EC 5.2.1.8)" "Gene01530" "231" "1424.7"
"Cell-division-associated, ABC-transporter-like signaling protein FtsE" "Gene01539" "231" "711.06"
"Cell-division-associated, ABC-transporter-like signaling protein FtsX" "Gene01540" "230" "974.4"
"Chaperone required for the assembly of the mitochondrial F1-ATPase" "Gene01562" "223" "795.30612244898"
"Chlorophyll a synthase ChlG (EC 2.5.1.62)" "Gene01591" "203" "890.866666666667"
"Chlorophyllide reductase subunit BchX (EC 1.18.-.-)" "Gene01592" "203" "1002.73333333333"
"Chlorophyllide reductase subunit BchY (EC 1.18.-.-)" "Gene01593" "204" "1538.53333333333"
"Chlorophyllide reductase subunit BchZ (EC 1.18.-.-)" "Gene01594" "201" "1466.33333333333"
"Chorismate synthase (EC 4.2.3.5)" "Gene01606" "231" "1108.32"
"ClpXP protease specificity-enhancing factor SspBalpha" "Gene01643" "231" "644.88"
"Cobalamin biosynthesis protein BluB @ 5,6-dimethylbenzimidazole synthase, flavin destructase family" "Gene01654" "211" "658.95652173913"
"Coenzyme PQQ synthesis protein B" "Gene01687" "209" "900.065217391304"
"Coenzyme PQQ synthesis protein E" "Gene01689" "208" "1151.60869565217"
"COG2740: Predicted nucleic-acid-binding protein implicated in transcription termination / Ribosomal protein L7Ae family protein YlxQ" "Gene01771" "230" "746.34"
"Cold shock protein" "Gene01839" "202" "805.369565217391"
"Cold shock protein of CSP family => dimer" "Gene01844" "231" "588.66"
"Colicin V production protein" "Gene01845" "231" "600.9"
"Competence protein F homolog, phosphoribosyltransferase domain; protein YhgH required for utilization of DNA as sole source of carbon and energy" "Gene01850" "226" "768.36"
"Conserved uncharacterized protein CreA" "Gene01887" "225" "532.98"
"Coproporphyrinogen III oxidase, aerobic (EC 1.3.3.3)" "Gene01908" "230" "922.44"
"Crossover junction endodeoxyribonuclease RuvC (EC 3.1.22.4)" "Gene02151" "231" "589.08"
"Cyclic pyranopterin monophosphate synthase (EC 4.6.1.17)" "Gene02183" "230" "487.98"
"Cyclohexadienyl dehydrogenase (EC 1.3.1.12)(EC 1.3.1.43)" "Gene02187" "230" "941.64"
"Cysteine desulfurase (EC 2.8.1.7) => SufS" "Gene02203" "229" "1251.3"
"Cysteinyl-tRNA synthetase (EC 6.1.1.16)" "Gene02210" "227" "1395.3"
"Cytidine deaminase (EC 3.5.4.5)" "Gene02216" "230" "419.7"
"Cytidylate kinase (EC 2.7.4.25)" "Gene02218" "228" "652.26"
"Cytochrome c-type biogenesis protein CcmC, putative heme lyase for CcmE" "Gene02251" "231" "799.02"
"Cytochrome c-type biogenesis protein CcmG/DsbE, thiol:disulfide oxidoreductase" "Gene02254" "228" "611.04"
"Cytochrome oxidase biogenesis protein Cox11-CtaG, copper delivery to Cox1" "Gene02277" "225" "600.36"
"Cytosol aminopeptidase PepA (EC 3.4.11.1)" "Gene02296" "229" "1500.72"
"Decaprenyl diphosphate synthase (EC 2.5.1.91)" "Gene02371" "230" "1026.66"
"Deoxyribose-phosphate aldolase (EC 4.1.2.4)" "Gene02396" "223" "744.4375"
"Dephospho-CoA kinase (EC 2.7.1.24)" "Gene02398" "228" "623.64"
"Diadenosine tetraphosphate (Ap4A) hydrolase and other HIT family hydrolases" "Gene02406" "228" "422.88"
"Dihydrofolate reductase-like protein" "Gene02440" "206" "408.847826086957"
"Dihydrolipoamide dehydrogenase of 2-oxoglutarate dehydrogenase (EC 1.8.1.4)" "Gene02446" "230" "1404.36"
"Dihydrolipoamide succinyltransferase component (E2) of 2-oxoglutarate dehydrogenase complex (EC 2.3.1.61)" "Gene02450" "226" "1312.62"
"Dihydroneopterin aldolase (EC 4.1.2.25)" "Gene02452" "210" "383.4"
"Dihydroorotate dehydrogenase (quinone) (EC 1.3.5.2)" "Gene02456" "231" "1074.3"
"Dihydropteroate synthase (EC 2.5.1.15)" "Gene02458" "210" "858.521739130435"
"Dipeptidyl carboxypeptidase Dcp (EC 3.4.15.5)" "Gene02486" "228" "2070.3"
"DksA family protein PA5536 (no Zn-finger)" "Gene02491" "230" "420"
"DNA polymerase III chi subunit (EC 2.7.7.7)" "Gene02536" "229" "454.38"
"DNA polymerase III delta prime subunit (EC 2.7.7.7)" "Gene02537" "228" "1062.12"
"DNA recombination and repair protein RecF" "Gene02560" "228" "1143"
"DNA recombination and repair protein RecO" "Gene02561" "229" "743.64"
"DNA repair protein RecN" "Gene02568" "229" "1680.6"
"DNA topoisomerase I (EC 5.99.1.2)" "Gene02572" "229" "2727.6"
"DNA topoisomerase IV subunit A (EC 5.99.1.3)" "Gene02575" "229" "2247.84"
"DNA topoisomerase IV subunit B (EC 5.99.1.3)" "Gene02576" "226" "2063.22"
"DNA uptake lipoprotein ComL" "Gene02582" "230" "885.78"
"DNA-binding response regulator ChvI" "Gene02596" "230" "712.44"
"DNA-binding response regulator PetR" "Gene02599" "228" "723.6"
"DNA-directed RNA polymerase beta subunit (EC 2.7.7.6)" "Gene02607" "228" "4128.54"
"DNA-directed RNA polymerase beta' subunit (EC 2.7.7.6)" "Gene02608" "228" "4166.46"
"DnaJ-like protein DjlA" "Gene02619" "229" "729.3"
"Dolichol-phosphate mannosyltransferase" "Gene02626" "226" "767.16"
"DUF1022 domain-containing protein" "Gene02654" "228" "1067.1875"
"DUF447 family protein" "Gene02657" "204" "586.565217391304"
"Efflux ABC transporter, permease/ATP-binding protein Atu2242" "Gene02679" "228" "1882.83673469388"
"Energy-dependent translational throttle protein EttA" "Gene02719" "228" "1655.1"
"Epoxyqueuosine reductase (EC 1.17.99.6) QueG" "Gene02740" "228" "1055.81632653061"
"Ethylmalonyl-CoA mutase, methylsuccinyl-CoA-forming" "Gene02764" "204" "2025.19565217391"
"Excinuclease ABC subunit A" "Gene02767" "228" "3057.12"
"Exodeoxyribonuclease VII small subunit (EC 3.1.11.6)" "Gene02782" "230" "269.7"
"Ferredoxin--nitrite reductase (EC 1.7.7.1)" "Gene02838" "208" "1795.10869565217"
"Ferric siderophore transport system, biopolymer transport protein ExbB" "Gene02855" "206" "696.195652173913"
"Ferrochelatase, protoheme ferro-lyase (EC 4.99.1.1)" "Gene02863" "229" "1083.54"
"FIG00003370: Multicopper polyphenol oxidase" "Gene02879" "229" "773.387755102041"
"FIG000875: Thioredoxin domain-containing protein EC-YbbN" "Gene02884" "231" "910.8"
"FIG001385: N-acetylmuramoyl-L-alanine amidase (EC 3.5.1.28)" "Gene02887" "227" "745.2"
"FIG002473: Protein YcaR in KDO2-Lipid A biosynthesis cluster" "Gene02894" "231" "206.7"
"FIG003437: hypothetical with DnaJ-like domain" "Gene02899" "226" "670.5"
"FIG003492: Threonine dehydrogenase and related Zn-dependent dehydrogenases" "Gene02901" "226" "2085.78"
"FIG003620: Proteophosphoglycan precursor (Fragment)" "Gene02906" "228" "593.16"
"FIG004684: SpoVR-like protein" "Gene02989" "223" "1572.5"
"FIG005495: hypothetical protein" "Gene03002" "229" "351.12"
"FIG006285: ICC-like protein phosphoesterase" "Gene03019" "231" "719.46"
"FIG007785: exported protein" "Gene03055" "228" "500.52"
"FIG00899427: hypothetical protein" "Gene04130" "225" "418.26"
"FIG01031092: hypothetical protein" "Gene04251" "230" "276"
"FIG01269488: protein, clustered with ribosomal protein L32p" "Gene04309" "229" "518.22"
"FIG017823: ATPase, MoxR family" "Gene04327" "230" "1011.66"
"FIG018229: hypothetical protein" "Gene04329" "231" "287.94"
"FIG01964566: Predicted membrane protein, hemolysin III homolog" "Gene04330" "214" "686.617021276596"
"FIG020313: hypothetical protein" "Gene04332" "230" "389.7"
"FIG041266: ATP-dependent nuclease subunit B" "Gene04355" "224" "3152.46"
"FIG043197: Inositol monophosphatase family protein" "Gene04357" "230" "839.22"
"FIG061771: ATP-dependent nuclease subunit A" "Gene04367" "225" "3442.44"
"FIG110192: hypothetical protein" "Gene04377" "231" "1237.62"
"FIG139438: lipoprotein B" "Gene04387" "228" "582"
"FIG139612: Possible conserved membrane protein" "Gene04388" "230" "915.6"
"Flagellar assembly protein FliH" "Gene04400" "204" "623.2"
"Flagellar system sigma 54-dependent response regulator FlbD" "Gene04441" "207" "1270.74"
"Flp pilus assembly protein CpaD" "Gene04461" "206" "741.533333333333"
"FOG: TPR repeat, SEL1 subfamily" "Gene04486" "230" "1069.74"
"Formamidopyrimidine-DNA glycosylase (EC 3.2.2.23)" "Gene04493" "231" "900.9"
"Formylmethanofuran dehydrogenase subunit C (EC 1.2.99.5)" "Gene04514" "204" "783.391304347826"
"Formylmethanofuran--tetrahydromethanopterin N-formyltransferase (EC 2.3.1.101)" "Gene04515" "207" "939.782608695652"
"Fructose-1,6-bisphosphatase, GlpX type (EC 3.1.3.11)" "Gene04526" "227" "994.56"
"Geranylgeranyl diphosphate reductase (EC 1.3.1.83)" "Gene04632" "201" "1196.53333333333"
"Geranylgeranyl diphosphate synthase (EC 2.5.1.29)" "Gene04633" "201" "871.2"
"GLCG PROTEIN" "Gene04641" "226" "441.9"
"Glutamate 5-kinase (EC 2.7.2.11) / RNA-binding C-terminal domain PUA" "Gene04691" "229" "1131.18"
"Glutamate N-acetyltransferase (EC 2.3.1.35) @ N-acetylglutamate synthase (EC 2.3.1.1)" "Gene04698" "231" "1246.38"
"Glutamate--cysteine ligase (EC 6.3.2.2)" "Gene04704" "226" "1362.96"
"Glutamine synthetase type II, eukaryotic (EC 6.3.1.2)" "Gene04728" "206" "1037.73913043478"
"Glutamyl-Q tRNA(Asp) synthetase" "Gene04735" "225" "883.775510204082"
"Glutamyl-tRNA(Gln) synthetase (EC 6.1.1.24)" "Gene04739" "230" "1347.48"
"Glutathione peroxidase (EC 1.11.1.9) @ Thioredoxin peroxidase (EC 1.11.1.15)" "Gene04749" "205" "542.021739130435"
"Glutathione reductase (EC 1.8.1.7)" "Gene04750" "230" "1395.6"
"Glycerate dehydrogenase (EC 1.1.1.29)" "Gene04772" "204" "935.333333333333"
"Glycerol-3-phosphate dehydrogenase [NAD(P)+] (EC 1.1.1.94)" "Gene04792" "224" "1010.88"
"Glycine amidinotransferase (EC 2.1.4.1)" "Gene04799" "208" "1187.86956521739"
"Glycine oxidase ThiO (EC 1.4.3.19)" "Gene04813" "211" "1241.6"
"Glycogen debranching enzyme" "Gene04817" "212" "2331.875"
"Glycogen phosphorylase (EC 2.4.1.1)" "Gene04819" "211" "2436.125"
"Glycyl-tRNA synthetase alpha chain (EC 6.1.1.14)" "Gene04862" "230" "942.72"
"Glycyl-tRNA synthetase beta chain (EC 6.1.1.14)" "Gene04863" "228" "2118.48"
"Glyoxylate reductase (EC 1.1.1.79) @ Glyoxylate reductase (EC 1.1.1.26) @ Hydroxypyruvate reductase (EC 1.1.1.81)" "Gene04870" "229" "1002.66"
"GMP synthase [glutamine-hydrolyzing], amidotransferase subunit (EC 6.3.5.2) / GMP synthase [glutamine-hydrolyzing], ATP pyrophosphatase subunit (EC 6.3.5.2)" "Gene04874" "228" "1539.78"
"GNAT family acetyltransferase VC2332" "Gene04877" "202" "506.533333333333"
"GTP-binding protein" "Gene04892" "225" "1021.38"
"GTP-binding protein EngA" "Gene04893" "230" "1346.7"
"GTP-binding protein EngB" "Gene04894" "231" "658.86"
"GTP-binding protein Era" "Gene04895" "229" "972.48"
"GTP-binding protein Obg" "Gene04897" "229" "1033.44"
"GTP-binding protein TypA/BipA" "Gene04898" "229" "1829.82"
"Guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase (EC 3.1.7.2) / GTP pyrophosphokinase (EC 2.7.6.5), (p)ppGpp synthetase II" "Gene04907" "228" "2262.42"
"Heat-inducible transcription repressor HrcA" "Gene04938" "231" "1097.28"
"Heme A synthase, cytochrome oxidase biogenesis protein Cox15-CtaA" "Gene04956" "226" "1127.1"
"Heme O synthase, protoheme IX farnesyltransferase, COX10-CtaB" "Gene04957" "226" "939.18"
"Heparinase II/III-like" "Gene04974" "228" "1729.56"
"HflC protein" "Gene04981" "228" "951.66"
"HflK protein" "Gene04982" "227" "1161.9"
"Histidine protein kinase" "Gene05011" "209" "2216.8085106383"
"Histidinol dehydrogenase (EC 1.1.1.23)" "Gene05014" "227" "1291.26"
"Histidyl-tRNA synthetase-like protein CC_3512" "Gene05018" "229" "1150.5"
"Hopanoid 2-methyltransferase" "Gene05054" "207" "1608.13043478261"
"Hopanoid-associated RND transporter, HpnN" "Gene05055" "205" "2637.32608695652"
"Hopanoid-associated sugar epimerase HpnA" "Gene05056" "209" "1031.21739130435"
"Hydrogenobyrinic acid a,c-diamide synthase (glutamine-hydrolyzing) (EC 6.3.5.9)" "Gene05081" "219" "1327.125"
"Hydrolase SMc00528, alpha/beta fold family" "Gene05087" "231" "657.42"
"Hydroxymethylpyrimidine phosphate kinase ThiD (EC 2.7.4.7)" "Gene05115" "214" "809.217391304348"
"Hypothetical metal-binding enzyme, YcbL homolog" "Gene05132" "231" "645.54"
"Hypothetical protein DUF2948" "Gene05143" "207" "457.5"
"Hypoxanthine-guanine phosphoribosyltransferase (EC 2.4.2.8)" "Gene05178" "229" "583.02"
"Imidazole glycerol phosphate synthase amidotransferase subunit HisH" "Gene05184" "230" "666.12"
"Imidazole glycerol phosphate synthase cyclase subunit" "Gene05185" "229" "789.24"
"Imidazoleglycerol-phosphate dehydratase (EC 4.2.1.19)" "Gene05186" "230" "595.92"
"IMP cyclohydrolase (EC 3.5.4.10) / Phosphoribosylaminoimidazolecarboxamide formyltransferase (EC 2.1.2.3)" "Gene05191" "228" "1603.38"
"Inner membrane protein translocase and chaperone YidC, long form" "Gene05220" "231" "1843.14"
"Inosine-5'-monophosphate dehydrogenase (EC 1.1.1.205) / CBS domain" "Gene05240" "229" "1495.8"
"Intracellular PHB depolymerase PhaZ2" "Gene05299" "209" "1203.63829787234"
"Intracellular septation protein IspA" "Gene05302" "231" "622.2"
"Intramembrane protease RasP/YluC, implicated in cell division based on FtsL cleavage" "Gene05305" "228" "1160.1"
"Iron-sulfur cluster assembly ATPase protein SufC" "Gene05331" "230" "753"
"Iron-sulfur cluster assembly protein SufB" "Gene05333" "230" "1470.24"
"Iron-sulfur cluster assembly protein SufD" "Gene05334" "228" "1309.86"
"Isocitrate dehydrogenase [NADP] (EC 1.1.1.42)" "Gene05355" "222" "1194.48"
"Isoleucyl-tRNA synthetase (EC 6.1.1.5)" "Gene05359" "229" "2978.94"
"L-aspartate oxidase (EC 1.4.3.16)" "Gene05420" "206" "1486.27659574468"
"Large protein containing transglutaminase-like domain" "Gene05488" "204" "3267.71739130435"
"Light-harvesting LHI, alpha subunit" "Gene05510" "204" "188.333333333333"
"Light-harvesting LHI, beta subunit" "Gene05511" "202" "232.266666666667"
"Light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein ChlL (EC 1.3.7.7)" "Gene05512" "204" "894.4"
"Light-independent protochlorophyllide reductase subunit B (EC 1.3.7.7)" "Gene05514" "201" "1563.53333333333"
"Light-independent protochlorophyllide reductase subunit N (EC 1.3.7.7)" "Gene05515" "202" "1236.6"
"Lipid-A-disaccharide synthase (EC 2.4.1.182)" "Gene05530" "229" "1172.16"
"Lipopolysaccharide ABC transporter, ATP-binding protein LptB" "Gene05536" "229" "865.92"
"Lipopolysaccharide export system permease protein LptF" "Gene05541" "231" "1168.32"
"Lipopolysaccharide export system permease protein LptG" "Gene05542" "231" "1089.18"
"Lipopolysaccharide export system protein LptA" "Gene05543" "212" "731.8125"
"Lipoprotein releasing system transmembrane protein LolC/LolE" "Gene05549" "231" "1310.52"
"Lipoprotein-releasing system ATP-binding protein LolD" "Gene05551" "228" "701.82"
"LmbE-like protein" "Gene05557" "203" "741.954545454545"
"low molecular weight phosphatase supefamily protein in cluster with UPF0262" "Gene05562" "230" "466.86"
"LSU ribosomal protein L10p (P0)" "Gene05574" "231" "521.82"
"LSU ribosomal protein L11p (L12e)" "Gene05575" "231" "448.32"
"LSU ribosomal protein L13p (L13Ae)" "Gene05576" "229" "462.244897959184"
"LSU ribosomal protein L14p (L23e)" "Gene05577" "230" "369"
"LSU ribosomal protein L15p (L27Ae)" "Gene05578" "230" "501.84"
"LSU ribosomal protein L16p (L10e)" "Gene05579" "230" "414"
"LSU ribosomal protein L18p (L5e)" "Gene05581" "230" "363"
"LSU ribosomal protein L19p" "Gene05582" "230" "400.44"
"LSU ribosomal protein L1p (L10Ae)" "Gene05583" "230" "700.5"
"LSU ribosomal protein L20p" "Gene05584" "231" "370.92"
"LSU ribosomal protein L21p" "Gene05585" "231" "361.74"
"LSU ribosomal protein L22p (L17e)" "Gene05586" "230" "384.54"
"LSU ribosomal protein L24p (L26e)" "Gene05588" "230" "315.96"
"LSU ribosomal protein L25p" "Gene05589" "230" "677.4"
"LSU ribosomal protein L27p" "Gene05590" "231" "268.8"
"LSU ribosomal protein L28p @ LSU ribosomal protein L28p, zinc-independent" "Gene05591" "231" "302.22"
"LSU ribosomal protein L2p (L8e)" "Gene05593" "230" "837"
"LSU ribosomal protein L30p (L7e)" "Gene05594" "230" "195"
"LSU ribosomal protein L33p @ LSU ribosomal protein L33p, zinc-independent" "Gene05597" "231" "168"
"LSU ribosomal protein L34p" "Gene05598" "225" "135"
"LSU ribosomal protein L35p" "Gene05599" "231" "203.64"
"LSU ribosomal protein L36p @ LSU ribosomal protein L36p, zinc-independent" "Gene05600" "230" "126"
"LSU ribosomal protein L3p (L3e)" "Gene05601" "228" "737.448979591837"
"LSU ribosomal protein L4p (L1e)" "Gene05602" "230" "621"
"LSU ribosomal protein L5p (L11e)" "Gene05603" "230" "566.4"
