"Annotation" "Short-Name" "Core-gene" "Occurence" "Mean-abundance" "SD-abundance" "Mean-abundance-if-present" "SD-abundance-if-present"
"16S rRNA (guanine(527)-N(7))-methyltransferase (EC 2.1.1.170)" "Gene0005" "Gene5" "213" "1" "0" "1" "0"
"16S rRNA (guanine(966)-N(2))-methyltransferase (EC 2.1.1.171)" "Gene0927" "Gene927" "212" "1" "0.0971285862357264" "1.00471698113208" "0.0686802819743445"
"16S rRNA (uracil(1498)-N(3))-methyltransferase (EC 2.1.1.193)" "Gene0006" "Gene6" "212" "0.995305164319249" "0.0685188709827532" "1" "0"
"16S rRNA processing protein RimM" "Gene0007" "Gene7" "212" "0.995305164319249" "0.0685188709827532" "1" "0"
"17 kDa antigen" "Gene7022" NA "3" "0.0140845070422535" "0.118117036596368" "1" "0"
"18 : Unknown function" "Gene7912" NA "3" "0.0140845070422535" "0.118117036596368" "1" "0"
"2-acylglycerophosphoethanolamine acyltransferase (EC 2.3.1.40) / Acyl-[acyl-carrier-protein] synthetase (EC 6.2.1.20)" "Gene6083" NA "4" "0.0234741784037559" "0.180181107892645" "1.25" "0.5"
"2-amino-3-carboxymuconate-6-semialdehyde decarboxylase (EC 4.1.1.45)" "Gene6984" NA "2" "0.0140845070422535" "0.152923499170202" "1.5" "0.707106781186548"
"2-amino-3-ketobutyrate coenzyme A ligase (EC 2.3.1.29)" "Gene3697" NA "30" "0.140845070422535" "0.348681126203292" "1" "0"
"2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase (EC 2.7.6.3)" "Gene1305" NA "201" "0.995305164319249" "0.406290775395304" "1.0547263681592" "0.334649144255956"
"2-aminoethylphosphonate ABC transporter ATP-binding protein (TC 3.A.1.9.1)" "Gene4635" NA "16" "0.0751173708920188" "0.264201556721733" "1" "0"
"2-aminoethylphosphonate ABC transporter permease protein" "Gene4360" NA "19" "0.0892018779342723" "0.285706376515055" "1" "0"
"2-aminoethylphosphonate ABC transporter substrate-binding protein" "Gene7913" NA "1" "0.00469483568075117" "0.0685188709827532" "1" NA
"2-aminoethylphosphonate:pyruvate aminotransferase (EC 2.6.1.37)" "Gene4136" NA "22" "0.103286384976526" "0.305049481993824" "1" "0"
"2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase (EC 4.6.1.12)" NA NA "1" "0.00469483568075117" "0.0685188709827532" "1" NA
"2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase (EC 2.7.7.60) / 2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase (EC 4.6.1.12)" "Gene0642" NA "213" "1.10798122065728" "0.31108780478698" "1.10798122065728" "0.31108780478698"
"2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase (EC 1.1.1.127) @ 2-deoxy-D-gluconate 3-dehydrogenase (EC 1.1.1.125)" "Gene4102" NA "19" "0.103286384976526" "0.34836342123873" "1.15789473684211" "0.374634324632678"
"2-dehydro-3-deoxygalactonokinase (EC 2.7.1.58)" "Gene2375" NA "99" "0.488262910798122" "0.546086666686705" "1.05050505050505" "0.220099113746947"
"2-dehydro-3-deoxyglucarate aldolase (EC 4.1.2.20)" "Gene3179" NA "46" "0.215962441314554" "0.412457703374852" "1" "0"
"2-dehydro-3-deoxygluconokinase (EC 2.7.1.45)" "Gene2341" NA "104" "0.507042253521127" "0.546167766659928" "1.03846153846154" "0.238241002359747"
"2-dehydro-3-deoxyphosphogalactonate aldolase (EC 4.1.2.21)" "Gene2380" NA "99" "0.464788732394366" "0.499933559231651" "1" "0"
"2-dehydro-3-deoxyphosphogalactonate aldolase (EC 4.1.2.21) (6-phospho-2-dehydro-3-deoxygalactonate aldolase) (2- oxo-3-deoxygalactonate 6-phosphate aldolase) / Galactonate dehydratase (EC 4.2.1.6)" "Gene6128" NA "4" "0.0187793427230047" "0.136064680601224" "1" "0"
"2-dehydropantoate 2-reductase (EC 1.1.1.169)" "Gene1171" NA "209" "2.17370892018779" "0.859389784478113" "2.21531100478469" "0.812495576274019"
"2-dehydrotetronate isomerase (EC 5.3.1.35)" "Gene7914" NA "2" "0.00938967136150235" "0.0966715079992743" "1" "0"
"2-deoxy-D-gluconate 3-dehydrogenase (EC 1.1.1.125)" "Gene7023" NA "2" "0.00938967136150235" "0.0966715079992743" "1" "0"
"2-deoxyglucose-6-phosphate phosphatase 1 (EC 3.1.3.68)" "Gene7915" NA "2" "0.00938967136150235" "0.0966715079992743" "1" "0"
"2-desacetyl-2-hydroxyethyl bacteriochlorophyllide A dehydrogenase BchC" "Gene1645" NA "186" "0.877934272300469" "0.34220629246536" "1.00537634408602" "0.0733235575106767"
"2-haloalkanoic acid dehalogenase" "Gene7916" NA "1" "0.00469483568075117" "0.0685188709827532" "1" NA
"2-haloalkanoic acid dehalogenase (EC 3.8.1.2)" "Gene3169" NA "45" "0.267605633802817" "0.59774134177437" "1.26666666666667" "0.653661018627184"
"2-heptaprenyl-1,4-naphthoquinone methyltransferase MenG (EC 2.1.1.163)" "Gene7917" NA "1" "0.00469483568075117" "0.0685188709827532" "1" NA
"2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)" "Gene0770" NA "213" "1.57746478873239" "0.800859888653639" "1.57746478873239" "0.800859888653639"
"2-hydroxy-6-oxo-6-phenylhexa-2,4-dienoate hydrolase (EC 3.7.1.-)" "Gene1499" NA "190" "0.943661971830986" "0.408194041803672" "1.05789473684211" "0.255760696422626"
"2-hydroxychromene-2-carboxylate isomerase" "Gene4510" NA "14" "0.0751173708920188" "0.297775732897241" "1.14285714285714" "0.363136519601281"
"2-hydroxychromene-2-carboxylate isomerase family protein" "Gene1077" NA "210" "1.2018779342723" "0.477410708959984" "1.21904761904762" "0.458434038937452"
"2-hydroxychromene-2-carboxylate isomerase/DsbA- like thioredoxin domain" NA NA "1" "0.00469483568075117" "0.0685188709827532" "1" NA
"2-hydroxychromene-2-carboxylate isomerase/DsbA-like thioredoxin domain" "Gene4051" NA "22" "0.117370892018779" "0.363848193642147" "1.13636363636364" "0.351250086657104"
"2-hydroxycyclohexanecarboxyl-CoA dehydrogenase" "Gene6985" NA "4" "0.0234741784037559" "0.180181107892645" "1.25" "0.5"
"2-hydroxyhepta-2,4-diene-1,7-dioate isomerase (EC 5.3.3.-) / 5-carboxymethyl-2-oxo-hex-3- ene-1,7-dioate decarboxylase (EC 4.1.1.68)" "Gene1073" NA "210" "1.15023474178404" "0.471811484294144" "1.16666666666667" "0.454465702732481"
"2-hydroxymuconate tautomerase-like protein" "Gene5582" NA "6" "0.028169014084507" "0.165845260845097" "1" "0"
"2-hydroxymuconic semialdehyde hydrolase (EC 3.7.1.9)" "Gene0400" NA "213" "1.01408450704225" "0.152923499170202" "1.01408450704225" "0.152923499170202"
"2-hydroxymuconic semialdehyde hydrolase( EC:3.7.1.9 )" "Gene6986" NA "3" "0.0187793427230047" "0.167175236118464" "1.33333333333333" "0.577350269189626"
"2-isopropylmalate synthase (EC 2.3.3.13)" "Gene0511" NA "213" "1.03286384976526" "0.203390518642804" "1.03286384976526" "0.203390518642804"
"2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate synthase I alpha (EC 2.5.1.54)" "Gene7024" NA "2" "0.00938967136150235" "0.0966715079992743" "1" "0"
"2-keto-3-deoxy-D-arabino-heptulosonate-7-phosphate synthase II (EC 2.5.1.54)" "Gene0328" "Gene328" "213" "1.0093896713615" "0.137037741965506" "1.0093896713615" "0.137037741965506"
"2-Keto-3-deoxy-D-manno-octulosonate-8-phosphate synthase (EC 2.5.1.55)" "Gene0540" NA "213" "1.04225352112676" "0.223814679803542" "1.04225352112676" "0.223814679803542"
"2-keto-3-deoxy-L-fuconate dehydrogenase" "Gene2356" NA "102" "0.492957746478873" "0.528612622635888" "1.02941176470588" "0.16979208910779"
"2-keto-3-deoxygluconate permease (KDG permease)" "Gene2320" NA "106" "0.633802816901408" "0.718477884398251" "1.27358490566038" "0.468696650153625"
"2-keto-4-pentenoate hydratase (EC 4.2.1.-)" "Gene6484" NA "4" "0.0187793427230047" "0.136064680601224" "1" "0"
"2-keto-4-pentenoate hydratase (EC 4.2.1.80)" "Gene4264" NA "20" "0.0985915492957746" "0.314204427091218" "1.05" "0.223606797749979"
"2-keto-4-pentenoate hydratase/2-oxohepta-3-ene-1,7-dioic acid hydratase" "Gene6485" NA "4" "0.0187793427230047" "0.136064680601224" "1" "0"
"2-keto-4-pentenoate hydratase/2-oxohepta-3-ene-1,7-dioic acid hydratase (catechol pathway)" "Gene7025" NA "2" "0.00938967136150235" "0.0966715079992743" "1" "0"
"2-Keto-D-gluconate dehydrogenase (EC 1.1.99.4), membrane-bound, cytochrome c" "Gene7026" NA "3" "0.0140845070422535" "0.118117036596368" "1" "0"
"2-Keto-D-gluconate dehydrogenase (EC 1.1.99.4), membrane-bound, flavoprotein" "Gene7027" NA "2" "0.00938967136150235" "0.0966715079992743" "1" "0"
"2-ketocyclohexanecarboxyl-CoA hydrolase" "Gene6084" NA "6" "0.0375586854460094" "0.234917995692434" "1.33333333333333" "0.516397779494322"
"2-ketoglutaric semialdehyde dehydrogenase (EC 1.2.1.26)" "Gene2682" NA "74" "0.36150234741784" "0.537132143753243" "1.04054054054054" "0.348742916231458"
"2-methoxy-6-polyprenyl-1,4-benzoquinol methylase (EC 2.1.1.201)" "Gene0214" NA "213" "1.01408450704225" "0.118117036596368" "1.01408450704225" "0.118117036596368"
"2-methylaconitate isomerase" "Gene2837" NA "61" "0.286384976525822" "0.453136430535982" "1" "0"
"2-methylcitrate dehydratase (EC 4.2.1.79)" "Gene4189" NA "19" "0.103286384976526" "0.34836342123873" "1.15789473684211" "0.374634324632678"
"2-Methylcitrate dehydratase AcnD" "Gene4862" NA "11" "0.0516431924882629" "0.221826943455005" "1" "0"
"2-methylcitrate synthase (EC 2.3.3.5)" "Gene4111" NA "18" "0.0938967136150235" "0.337317845517018" "1.11111111111111" "0.471404520791032"
"2-methylfumaryl-CoA hydratase (EC 4.2.1.148)" "Gene1529" NA "190" "1.28638497652582" "0.649856720173272" "1.44210526315789" "0.497949009813524"
"2-nitropropane dioxygenase" NA NA "1" "0.00469483568075117" "0.0685188709827532" "1" NA
"2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase (EC 1.14.13.-)" "Gene6486" NA "3" "0.0140845070422535" "0.118117036596368" "1" "0"
"2-octaprenyl-6-methoxyphenol hydroxylase (EC 1.14.13.-)" "Gene4525" NA "15" "0.0751173708920188" "0.28148965316391" "1.06666666666667" "0.258198889747161"
"2-oxo-4-hydroxy-4-carboxy--5-ureidoimidazoline (OHCU) decarboxylase" NA NA "1" "0.00469483568075117" "0.0685188709827532" "1" NA
"2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline (OHCU) decarboxylase (EC 4.1.1.97)" "Gene2466" NA "93" "0.535211267605634" "0.67637322053534" "1.2258064516129" "0.445485379110698"
"2-oxo-hepta-3-ene-1,7-dioic acid hydratase (EC 4.2.-.-)" "Gene4046" NA "22" "0.117370892018779" "0.363848193642147" "1.13636363636364" "0.351250086657104"
"2-Oxobutyrate oxidase, putative" "Gene3322" NA "39" "0.244131455399061" "0.57995268316772" "1.33333333333333" "0.621260744197396"
"2-oxoglutarate dehydrogenase E1 component (EC 1.2.4.2)" "Gene0401" NA "213" "1.02347417840376" "0.180181107892645" "1.02347417840376" "0.180181107892645"
"2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase, beta subunit (EC 1.2.7.-)" "Gene7918" NA "1" "0.00469483568075117" "0.0685188709827532" "1" NA
"2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase, gamma subunit (EC 1.2.7.-) / 2-oxoglutarate/2-oxoacid ferredoxin oxidoreductase, alpha subunit (EC 1.2.7.-)" "Gene7919" NA "1" "0.00469483568075117" "0.0685188709827532" "1" NA
"2-polyprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase" "Gene2240" NA "122" "0.577464788732394" "0.504563284855458" "1.00819672131148" "0.0905357460425185"
"2-polyprenyl-6-methoxyphenol hydroxylase" "Gene0733" NA "213" "1.33333333333333" "0.47251501590063" "1.33333333333333" "0.47251501590063"
"2-polyprenyl-6-methoxyphenol hydroxylase and related FAD-dependent oxidoreductases" "Gene2015" NA "143" "1.36619718309859" "1.44952272515706" "2.03496503496504" "1.329050213724"
"2-polyprenylphenol hydroxylase and related flavodoxin oxidoreductases" "Gene7920" NA "2" "0.0140845070422535" "0.152923499170202" "1.5" "0.707106781186548"
"2-pyrone-4,6-dicarboxylic acid hydrolase (EC 3.1.1.57)" "Gene5583" NA "7" "0.0328638497652582" "0.17870014216457" "1" "0"
"2-vinyl bacteriochlorophyllide hydratase BchF (EC 4.2.1.-)" "Gene1649" NA "186" "0.873239436619718" "0.333488315463412" "1" "0"
"2,3-bisphosphoglycerate-independent phosphoglycerate mutase (EC 5.4.2.12)" "Gene2947" NA "54" "0.253521126760563" "0.436051424800358" "1" "0"
"2,3-butanediol dehydrogenase, R-alcohol forming, (R)- and (S)-acetoin-specific (EC 1.1.1.4)" "Gene7921" NA "2" "0.00938967136150235" "0.0966715079992743" "1" "0"
"2,3-butanediol dehydrogenase, S-alcohol forming, (S)-acetoin-specific (EC 1.1.1.76)" "Gene6487" NA "3" "0.0140845070422535" "0.118117036596368" "1" "0"
"2,3-diaminopropionate for siderophore biosynthesis protein SbnA" "Gene4361" NA "18" "0.0845070422535211" "0.278801962238945" "1" "0"
"2,3-diaminopropionate for siderophore biosynthesis protein SbnB" "Gene4636" NA "15" "0.0704225352112676" "0.256460504626278" "1" "0"
"2,3-dihydroxybenzoate-AMP ligase (EC 2.7.7.58)" "Gene2945" NA "60" "0.286384976525822" "0.463429160652458" "1.01666666666667" "0.129099444873581"
"2,3-dihydroxybenzoate-AMP ligase (EC 2.7.7.58) [pyochelin] siderophore @ 2,3-dihydroxybenzoate-AMP ligase (EC 2.7.7.58) of siderophore biosynthesis" "Gene7028" NA "3" "0.0140845070422535" "0.118117036596368" "1" "0"
"2,3-dihydroxybiphenyl 1,2-dioxygenase (EC 1.13.11.39)" "Gene7029" NA "3" "0.0140845070422535" "0.118117036596368" "1" "0"
"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase (EC 2.3.1.89)" "Gene5826" NA "5" "0.0234741784037559" "0.15176056594936" "1" "0"
"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase (EC 2.3.1.117)" "Gene0402" NA "213" "1.01408450704225" "0.118117036596368" "1.01408450704225" "0.118117036596368"
"2,4-dienoyl-CoA reductase [NADPH] (EC 1.3.1.34)" "Gene4526" NA "18" "0.103286384976526" "0.37446628391012" "1.22222222222222" "0.548318880553316"
"2,4-dienoyl-CoA reductase, mitochondrial precursor (EC 1.3.1.34)" "Gene7922" NA "1" "0.00469483568075117" "0.0685188709827532" "1" NA
"2,4-dihydroxyhept-2-ene-1,7-dioic acid aldolase (EC 4.1.2.52)" "Gene2066" NA "132" "0.981220657276995" "0.910952442240589" "1.58333333333333" "0.618316683931866"
"2,4-dihydroxyhept-2-ene-1,7-dioic acid aldolase (EC 4.1.2.n4)" "Gene5178" NA "8" "0.0375586854460094" "0.190574237954265" "1" "0"
"2,4-diketo-3-deoxy-L-fuconate hydrolase" "Gene4443" NA "17" "0.07981220657277" "0.271640651988175" "1" "0"
"2,4'-dihydroxyacetophenone dioxygenase" "Gene3635" NA "32" "0.169014084507042" "0.422902665982411" "1.125" "0.336010752516124"
"2,5-diamino-6-ribosylamino-pyrimidinone 5-phosphate reductase (EC 1.1.1.302) homolog" "Gene2714" NA "70" "0.328638497652582" "0.470824773940606" "1" "0"
"2,5-didehydrogluconate reductase (2-dehydro-D-gluconate-forming) (EC 1.1.1.274)" "Gene7923" NA "1" "0.00469483568075117" "0.0685188709827532" "1" NA
"2,5-dioxovalerate dehydrogenase (EC 1.2.1.26)" "Gene1767" NA "172" "1.12676056338028" "0.738360833672513" "1.3953488372093" "0.546740897130562"
"2'-5' RNA ligase" "Gene0928" "Gene928" "212" "0.995305164319249" "0.0685188709827532" "1" "0"
"2',3'-cyclic-nucleotide 2'-phosphodiesterase (EC 3.1.4.16)" NA NA "1" "0.00469483568075117" "0.0685188709827532" "1" NA
"2',3'-cyclic-nucleotide 2'-phosphodiesterase (EC 3.1.4.16) / 3'-nucleotidase (EC 3.1.3.6)" "Gene3869" NA "22" "0.117370892018779" "0.363848193642147" "1.13636363636364" "0.351250086657104"
"2',3'-cyclic-nucleotide 2'-phosphodiesterase, Bsub YmdB" "Gene0008" "Gene8" "213" "1" "0" "1" "0"
"23S ribosomal RNA methyltransferase" "Gene4637" NA "12" "0.0563380281690141" "0.231116482740212" "1" "0"
"23S rRNA (adenine(2030)-N(6))-methyltransferase (EC 2.1.1.266)" "Gene0329" NA "213" "1.0093896713615" "0.0966715079992743" "1.0093896713615" "0.0966715079992743"
"23S rRNA (adenine(2503)-C(2))-methyltransferase @ tRNA (adenine(37)-C(2))-methyltransferase (EC 2.1.1.192)" "Gene0009" "Gene9" "213" "1.00469483568075" "0.0685188709827532" "1.00469483568075" "0.0685188709827532"
"23S rRNA (guanosine(2251)-2'-O)-methyltransferase (EC 2.1.1.185)" "Gene0010" NA "213" "1" "0" "1" "0"
"23S rRNA (pseudouridine(1915)-N(3))-methyltransferase (EC 2.1.1.177)" "Gene0215" "Gene215" "213" "1.00469483568075" "0.0685188709827532" "1.00469483568075" "0.0685188709827532"
"23S rRNA (uracil(1939)-C(5))-methyltransferase (EC 2.1.1.190)" "Gene0330" "Gene330" "213" "1.0093896713615" "0.0966715079992743" "1.0093896713615" "0.0966715079992743"
"23S rRNA (uridine(2552)-2'-O)-methyltransferase (EC 2.1.1.166)" "Gene0011" "Gene11" "213" "1" "0" "1" "0"
"27kDa outer membrane protein" "Gene7030" NA "2" "0.00938967136150235" "0.0966715079992743" "1" "0"
"3-(3-hydroxyphenyl)propanoate hydroxylase (EC 1.14.13.127)" "Gene7859" NA "2" "0.0187793427230047" "0.193343015998549" "2" "0"
"3-carboxy-cis,cis-muconate cycloisomerase (EC 5.5.1.2)" "Gene2763" NA "68" "0.39906103286385" "0.67670055599492" "1.25" "0.6077853116641"
"3-carboxyethylcatechol 2,3-dioxygenase (EC 1.13.11.16)" "Gene7924" NA "1" "0.00469483568075117" "0.0685188709827532" "1" NA
"3-dehydroquinate dehydratase I (EC 4.2.1.10)" "Gene6129" NA "4" "0.0187793427230047" "0.136064680601224" "1" "0"
"3-dehydroquinate dehydratase II (EC 4.2.1.10)" "Gene0729" NA "211" "1.30516431924883" "0.683927059613686" "1.3175355450237" "0.675154721186232"
"3-dehydroquinate synthase (EC 4.2.3.4)" "Gene1292" NA "201" "0.962441314553991" "0.272129361202448" "1.01990049751244" "0.140007107140142"
"3-dehydroshikimate dehydratase (EC 4.2.1.118)" "Gene3337" NA "39" "0.183098591549296" "0.387658396899495" "1" "0"
"3-demethylubiquinol 3-O-methyltransferase (EC 2.1.1.64) @ 2-polyprenyl-6-hydroxyphenyl methylase (EC 2.1.1.222)" "Gene0929" "Gene929" "212" "0.995305164319249" "0.0685188709827532" "1" "0"
"3-demethylubiquinone-9 3-methyltransferase" "Gene2706" NA "67" "0.403755868544601" "0.717953706741848" "1.28358208955224" "0.713632834659854"
"3-demethylubiquinone-9 3-methyltransferase domain protein" "Gene7925" NA "1" "0.00469483568075117" "0.0685188709827532" "1" NA
"3-deoxy-D-manno-octulosonic acid transferase (EC 2.4.99.12)(EC 2.4.99.13)" "Gene0216" "Gene216" "213" "1.0093896713615" "0.0966715079992743" "1.0093896713615" "0.0966715079992743"
"3-deoxy-manno-octulosonate cytidylyltransferase (EC 2.7.7.38)" "Gene1065" NA "210" "1.018779342723" "0.23716965734199" "1.03333333333333" "0.204806673535607"
"3-hydroxy-2-methylpyridine-4,5-dicarboxylate 4-decarboxylase (EC 4.1.1.51)" "Gene7926" NA "1" "0.00469483568075117" "0.0685188709827532" "1" NA
"3-hydroxy-D-aspartate aldolase (EC 4.1.3.41)" "Gene3816" NA "29" "0.164319248826291" "0.4411008221884" "1.20689655172414" "0.412250820394885"
"3-hydroxyacyl-[acyl-carrier-protein] dehydratase, FabA form (EC 4.2.1.59) @ Trans-2-decenoyl-[acyl-carrier-protein] isomerase (EC 5.3.3.14)" "Gene0012" "Gene12" "213" "1.00469483568075" "0.0685188709827532" "1.00469483568075" "0.0685188709827532"
"3-hydroxyacyl-[acyl-carrier-protein] dehydratase, FabZ form (EC 4.2.1.59)" "Gene0808" NA "213" "2.01408450704225" "0.118117036596368" "2.01408450704225" "0.118117036596368"
