"Code-link" "Short-name" "Annotation"
"47" "Gene27" "Aspartyl-tRNA(Asn) amidotransferase subunit C (EC 6.3.5.6) @ Glutamyl-tRNA(Gln) amidotransferase subunit C (EC 6.3.5.7)"
"48" "Gene28" "ATP phosphoribosyltransferase (EC 2.4.2.17) => HisGl"
"49" "Gene29" "ATP synthase alpha chain (EC 3.6.3.14)"
"50" "Gene30" "ATP synthase beta chain (EC 3.6.3.14)"
"51" "Gene31" "ATP synthase gamma chain (EC 3.6.3.14)"
"52" "Gene32" "ATP-dependent Clp protease adaptor protein ClpS"
"53" "Gene408" "ATP-dependent DNA helicase RecG (EC 3.6.4.12)"
"54" "Gene33" "ATP-DEPENDENT PROTEASE SUBUNIT"
"55" "Gene34" "ATP-dependent protease subunit HslV (EC 3.4.25.2)"
"56" "Gene931" "ATP-dependent RNA helicase Atu4171"
"57" "Gene232" "Bacterial ribosome SSU maturation protein RimP"
"58" "Gene35" "Beta-(1-->2)glucan export ATP-binding/permease protein NdvA (EC 3.6.3.42)"
"59" "Gene336" "Bis-ABC ATPase Uup"
"60" "Gene932" "Bll2457 protein"
"61" "Gene1048" "Bll4589 protein"
"62" "Gene234" "Carbamoyl-phosphate synthase large chain (EC 6.3.5.5)"
"63" "Gene235" "Carbamoyl-phosphate synthase small chain (EC 6.3.5.5)"
"64" "Gene933" "CCA tRNA nucleotidyltransferase (EC 2.7.7.72)"
"65" "Gene934" "Cell division protein DivIC (FtsB), stabilizes FtsL against RasP cleavage"
"66" "Gene338" "Cell division protein FtsA"
"67" "Gene935" "Cell division protein FtsQ"
"68" "Gene36" "Cell division trigger factor (EC 5.2.1.8)"
"69" "Gene37" "Cell-division-associated, ABC-transporter-like signaling protein FtsE"
"70" "Gene38" "Cell-division-associated, ABC-transporter-like signaling protein FtsX"
"71" "Gene39" "Chorismate synthase (EC 4.2.3.5)"
"72" "Gene40" "ClpXP protease specificity-enhancing factor SspBalpha"
"73" "Gene936" "COG2740: Predicted nucleic-acid-binding protein implicated in transcription termination / Ribosomal protein L7Ae family protein YlxQ"
"74" "Gene41" "Cold shock protein of CSP family => dimer"
"75" "Gene42" "Colicin V production protein"
"76" "Gene43" "Competence protein F homolog, phosphoribosyltransferase domain; protein YhgH required for utilization of DNA as sole source of carbon and energy"
"77" "Gene237" "Coproporphyrinogen III oxidase, aerobic (EC 1.3.3.3)"
"78" "Gene44" "Crossover junction endodeoxyribonuclease RuvC (EC 3.1.22.4)"
"79" "Gene410" "Cyclic pyranopterin monophosphate synthase (EC 4.6.1.17)"
"80" "Gene937" "Cyclohexadienyl dehydrogenase (EC 1.3.1.12)(EC 1.3.1.43)"
"81" "Gene238" "Cysteine desulfurase (EC 2.8.1.7) => SufS"
"82" "Gene45" "Cytidine deaminase (EC 3.5.4.5)"
"83" "Gene412" "Cytidylate kinase (EC 2.7.4.25)"
"84" "Gene46" "Cytochrome c-type biogenesis protein CcmC, putative heme lyase for CcmE"
"85" "Gene341" "Cytosol aminopeptidase PepA (EC 3.4.11.1)"
"86" "Gene47" "Decaprenyl diphosphate synthase (EC 2.5.1.91)"
"87" "Gene911" "Dephospho-CoA kinase (EC 2.7.1.24)"
"88" "Gene240" "Diadenosine tetraphosphate (Ap4A) hydrolase and other HIT family hydrolases"
"89" "Gene48" "Dihydrolipoamide dehydrogenase of 2-oxoglutarate dehydrogenase (EC 1.8.1.4)"
"90" "Gene49" "Dihydroorotate dehydrogenase (quinone) (EC 1.3.5.2)"
"91" "Gene241" "Dipeptidyl carboxypeptidase Dcp (EC 3.4.15.5)"
"92" "Gene938" "DksA family protein PA5536 (no Zn-finger)"
"93" "Gene50" "DNA polymerase III chi subunit (EC 2.7.7.7)"
"94" "Gene242" "DNA polymerase III delta prime subunit (EC 2.7.7.7)"
"95" "Gene243" "DNA recombination and repair protein RecF"
"96" "Gene342" "DNA recombination and repair protein RecO"
"97" "Gene244" "DNA repair protein RecN"
"98" "Gene343" "DNA topoisomerase I (EC 5.99.1.2)"
"99" "Gene344" "DNA topoisomerase IV subunit A (EC 5.99.1.3)"
"100" "Gene416" "DNA topoisomerase IV subunit B (EC 5.99.1.3)"
"101" "Gene51" "DNA uptake lipoprotein ComL"
"102" "Gene245" "DNA-binding response regulator ChvI"
"103" "Gene52" "DNA-binding response regulator PetR"
"104" "Gene246" "DNA-directed RNA polymerase beta subunit (EC 2.7.7.6)"
"105" "Gene418" "DNA-directed RNA polymerase beta' subunit (EC 2.7.7.6)"
"106" "Gene923" "DnaJ-like protein DjlA"
"107" "Gene1049" "DUF1022 domain-containing protein"
"108" "Gene1128" "Efflux ABC transporter, permease/ATP-binding protein Atu2242"
"109" "Gene463" "Energy-dependent translational throttle protein EttA"
"110" "Gene924" "Epoxyqueuosine reductase (EC 1.17.99.6) QueG"
"111" "Gene247" "Excinuclease ABC subunit A"
"112" "Gene53" "Exodeoxyribonuclease VII small subunit (EC 3.1.11.6)"
"113" "Gene248" "Ferrochelatase, protoheme ferro-lyase (EC 4.99.1.1)"
"114" "Gene54" "FIG00003370: Multicopper polyphenol oxidase"
"115" "Gene55" "FIG000875: Thioredoxin domain-containing protein EC-YbbN"
"116" "Gene56" "FIG002473: Protein YcaR in KDO2-Lipid A biosynthesis cluster"
"117" "Gene422" "FIG003437: hypothetical with DnaJ-like domain"
"118" "Gene939" "FIG003620: Proteophosphoglycan precursor (Fragment)"
"119" "Gene57" "FIG005495: hypothetical protein"
"120" "Gene58" "FIG006285: ICC-like protein phosphoesterase"
"121" "Gene59" "FIG007785: exported protein"
"122" "Gene60" "FIG01031092: hypothetical protein"
"123" "Gene1050" "FIG01269488: protein, clustered with ribosomal protein L32p"
"124" "Gene61" "FIG017823: ATPase, MoxR family"
"125" "Gene62" "FIG018229: hypothetical protein"
"126" "Gene249" "FIG020313: hypothetical protein"
"127" "Gene63" "FIG043197: Inositol monophosphatase family protein"
"128" "Gene64" "FIG110192: hypothetical protein"
"129" "Gene345" "FIG139438: lipoprotein B"
"130" "Gene65" "FIG139612: Possible conserved membrane protein"
"131" "Gene66" "FOG: TPR repeat, SEL1 subfamily"
"132" "Gene67" "Formamidopyrimidine-DNA glycosylase (EC 3.2.2.23)"
"133" "Gene1051" "Fructose-1,6-bisphosphatase, GlpX type (EC 3.1.3.11)"
"134" "Gene68" "Glutamate N-acetyltransferase (EC 2.3.1.35) @ N-acetylglutamate synthase (EC 2.3.1.1)"
"135" "Gene427" "Glutamate--cysteine ligase (EC 6.3.2.2)"
"136" "Gene69" "Glutamyl-tRNA(Gln) synthetase (EC 6.1.1.24)"
"137" "Gene940" "Glutathione reductase (EC 1.8.1.7)"
"138" "Gene70" "Glycyl-tRNA synthetase alpha chain (EC 6.1.1.14)"
"139" "Gene254" "Glycyl-tRNA synthetase beta chain (EC 6.1.1.14)"
"140" "Gene71" "Glyoxylate reductase (EC 1.1.1.79) @ Glyoxylate reductase (EC 1.1.1.26) @ Hydroxypyruvate reductase (EC 1.1.1.81)"
"141" "Gene255" "GMP synthase [glutamine-hydrolyzing], amidotransferase subunit (EC 6.3.5.2) / GMP synthase [glutamine-hydrolyzing], ATP pyrophosphatase subunit (EC 6.3.5.2)"
"142" "Gene72" "GTP-binding protein EngB"
"143" "Gene347" "GTP-binding protein Era"
"144" "Gene428" "GTP-binding protein TypA/BipA"
"145" "Gene429" "Guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase (EC 3.1.7.2) / GTP pyrophosphokinase (EC 2.7.6.5), (p)ppGpp synthetase II"
"146" "Gene73" "Heat-inducible transcription repressor HrcA"
"147" "Gene350" "Heme O synthase, protoheme IX farnesyltransferase, COX10-CtaB"
"148" "Gene912" "Heparinase II/III-like"
"149" "Gene351" "HflC protein"
"150" "Gene260" "Histidyl-tRNA synthetase-like protein CC_3512"
"151" "Gene74" "Hydrolase SMc00528, alpha/beta fold family"
"152" "Gene75" "Hypothetical metal-binding enzyme, YcbL homolog"
"153" "Gene76" "Imidazole glycerol phosphate synthase amidotransferase subunit HisH"
"154" "Gene77" "Imidazole glycerol phosphate synthase cyclase subunit"
"155" "Gene78" "Imidazoleglycerol-phosphate dehydratase (EC 4.2.1.19)"
"156" "Gene263" "IMP cyclohydrolase (EC 3.5.4.10) / Phosphoribosylaminoimidazolecarboxamide formyltransferase (EC 2.1.2.3)"
"157" "Gene79" "Inner membrane protein translocase and chaperone YidC, long form"
"158" "Gene264" "Inosine-5'-monophosphate dehydrogenase (EC 1.1.1.205) / CBS domain"
"159" "Gene80" "Intracellular septation protein IspA"
"160" "Gene81" "Iron-sulfur cluster assembly ATPase protein SufC"
"161" "Gene266" "Iron-sulfur cluster assembly protein SufB"
"162" "Gene353" "Iron-sulfur cluster assembly protein SufD"
"163" "Gene431" "Isoleucyl-tRNA synthetase (EC 6.1.1.5)"
"164" "Gene82" "Lipid A biosynthesis lauroyl acyltransferase (EC 2.3.1.241)"
"165" "Gene355" "Lipid-A-disaccharide synthase (EC 2.4.1.182)"
"166" "Gene83" "Lipopolysaccharide ABC transporter, ATP-binding protein LptB"
"167" "Gene84" "Lipopolysaccharide export system permease protein LptF"
"168" "Gene85" "Lipopolysaccharide export system permease protein LptG"
"169" "Gene86" "Lipoprotein releasing system transmembrane protein LolC/LolE"
"170" "Gene356" "Lipoprotein-releasing system ATP-binding protein LolD"
"171" "Gene87" "low molecular weight phosphatase supefamily protein in cluster with UPF0262"
"172" "Gene269" "LPS-assembly protein LptD @ Organic solvent tolerance protein precursor"
"173" "Gene88" "LSU ribosomal protein L10p (P0)"
"174" "Gene89" "LSU ribosomal protein L11p (L12e)"
"175" "Gene941" "LSU ribosomal protein L13p (L13Ae)"
"176" "Gene90" "LSU ribosomal protein L14p (L23e)"
"177" "Gene91" "LSU ribosomal protein L15p (L27Ae)"
"178" "Gene92" "LSU ribosomal protein L16p (L10e)"
"179" "Gene93" "LSU ribosomal protein L18p (L5e)"
"180" "Gene94" "LSU ribosomal protein L19p"
"181" "Gene95" "LSU ribosomal protein L1p (L10Ae)"
"182" "Gene96" "LSU ribosomal protein L20p"
"183" "Gene97" "LSU ribosomal protein L21p"
"184" "Gene98" "LSU ribosomal protein L22p (L17e)"
"185" "Gene99" "LSU ribosomal protein L23p (L23Ae)"
"186" "Gene100" "LSU ribosomal protein L24p (L26e)"
"187" "Gene101" "LSU ribosomal protein L25p"
"188" "Gene102" "LSU ribosomal protein L27p"
"189" "Gene103" "LSU ribosomal protein L28p @ LSU ribosomal protein L28p, zinc-independent"
"190" "Gene104" "LSU ribosomal protein L2p (L8e)"
"191" "Gene105" "LSU ribosomal protein L30p (L7e)"
"192" "Gene106" "LSU ribosomal protein L33p @ LSU ribosomal protein L33p, zinc-independent"
"193" "Gene107" "LSU ribosomal protein L35p"
"194" "Gene108" "LSU ribosomal protein L36p @ LSU ribosomal protein L36p, zinc-independent"
"195" "Gene109" "LSU ribosomal protein L3p (L3e)"
"196" "Gene110" "LSU ribosomal protein L4p (L1e)"
"197" "Gene111" "LSU ribosomal protein L5p (L11e)"
"198" "Gene112" "LSU ribosomal protein L6p (L9e)"
"199" "Gene113" "LSU ribosomal protein L7p/L12p (P1/P2)"
"200" "Gene942" "LSU ribosomal protein L9p"
"201" "Gene114" "Lysyl-tRNA synthetase (class I) (EC 6.1.1.6)"
"202" "Gene357" "Membrane alanine aminopeptidase N (EC 3.4.11.2)"
"203" "Gene115" "Metal-dependent hydrolase YbeY, involved in rRNA and/or ribosome maturation and assembly"
"204" "Gene358" "Metal-dependent hydrolases of the beta-lactamase superfamily I; PhnP protein"
"205" "Gene432" "Methylenetetrahydrofolate--tRNA-(uracil-5-)-methyltransferase TrmFO (EC 2.1.1.74)"
"206" "Gene360" "Mitochondrial processing peptidase-like protein (EC 3.4.24.64)"
"207" "Gene943" "Mlr6145 protein"
"208" "Gene1052" "Mlr7830 protein"
"209" "Gene116" "Molybdenum cofactor biosynthesis protein MoaB"
"210" "Gene117" "Monofunctional biosynthetic peptidoglycan transglycosylase"
"211" "Gene275" "MotA/TolQ/ExbB proton channel family protein, probably associated with flagella"
"212" "Gene276" "MotB-like protein Atu3746"
"213" "Gene277" "Murein endolytic transglycosylase MltG"
"214" "Gene118" "N5-carboxyaminoimidazole ribonucleotide mutase (EC 5.4.99.18)"
"215" "Gene967" "N5-carboxyaminoimidazole ribonucleotide synthase (EC 6.3.4.18)"
"216" "Gene915" "NADH pyrophosphatase (EC 3.6.1.22), decaps 5'-NAD modified RNA"
"217" "Gene119" "NADH-ubiquinone oxidoreductase chain B (EC 1.6.5.3)"
"218" "Gene120" "NADH-ubiquinone oxidoreductase chain C (EC 1.6.5.3)"
"219" "Gene365" "NADH-ubiquinone oxidoreductase chain G (EC 1.6.5.3)"
"220" "Gene121" "NADH-ubiquinone oxidoreductase chain I (EC 1.6.5.3)"
"221" "Gene122" "NADP-dependent glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.13) @ NAD-dependent glyceraldehyde-3-phosphate dehydrogenase (EC 1.2.1.12)"
"222" "Gene123" "NADPH-dependent 7-cyano-7-deazaguanine reductase (EC 1.7.1.13)"
"223" "Gene124" "Nitrogen regulation protein NtrB (EC 2.7.13.3)"
"224" "Gene435" "Nitrogen regulation protein NtrY (EC 2.7.3.-)"
"225" "Gene125" "Nitrogen regulatory protein P-II"
"226" "Gene126" "Nitrogen regulatory protein P-II, GlnK"
"227" "Gene367" "NLP/P60 family lipoprotein SMc02827"
"228" "Gene1054" "Nucleoid-associated protein YaaK"
"229" "Gene280" "Nucleoside 5-triphosphatase RdgB (dHAPTP, dITP, XTP-specific) (EC 3.6.1.66)"
"230" "Gene127" "Nucleoside diphosphate kinase (EC 2.7.4.6)"
"231" "Gene368" "Nucleoside triphosphate pyrophosphohydrolase MazG (EC 3.6.1.8)"
"232" "Gene128" "Octanoate-[acyl-carrier-protein]-protein-N-octanoyltransferase (EC 2.3.1.181)"
"233" "Gene129" "Oligoendopeptidase F-like protein"
"234" "Gene281" "Ornithine carbamoyltransferase (EC 2.1.3.3)"
"235" "Gene944" "Outer membrane beta-barrel assembly protein BamE"
"236" "Gene916" "Outer membrane component of TAM transport system"
"237" "Gene282" "Oxygen-independent coproporphyrinogen-III oxidase-like protein YggW"
"238" "Gene130" "PaaD-like protein (DUF59) involved in Fe-S cluster assembly"
"239" "Gene131" "Pantothenate kinase (EC 2.7.1.33)"
"240" "Gene132" "Peptidase B (EC 3.4.11.23)"
"241" "Gene133" "Peptide chain release factor 3"
"242" "Gene134" "Peptide chain release factor N(5)-glutamine methyltransferase (EC 2.1.1.297)"
"243" "Gene135" "Peptidoglycan glycosyltransferase FtsW (EC 2.4.1.129)"
"244" "Gene136" "Peptidyl-tRNA hydrolase (EC 3.1.1.29)"
"245" "Gene283" "Peptidyl-tRNA hydrolase ArfB (EC 3.1.1.29)"
"246" "Gene285" "Phenylalanyl-tRNA synthetase alpha chain (EC 6.1.1.20)"
"247" "Gene371" "Phenylalanyl-tRNA synthetase beta chain (EC 6.1.1.20)"
"248" "Gene137" "Phosphate:acyl-ACP acyltransferase PlsX (EC 2.3.1.n2)"
"249" "Gene138" "Phospho-N-acetylmuramoyl-pentapeptide-transferase (EC 2.7.8.13)"
"250" "Gene139" "Phosphocarrier protein, nitrogen regulation associated"
"251" "Gene140" "Phosphoenolpyruvate synthase regulatory protein"
"252" "Gene286" "Phosphoglycerate kinase (EC 2.7.2.3)"
"253" "Gene287" "Phosphopantetheine adenylyltransferase (EC 2.7.7.3)"
"254" "Gene373" "Phosphopantothenoylcysteine decarboxylase (EC 4.1.1.36) / Phosphopantothenoylcysteine synthetase (EC 6.3.2.5)"
"255" "Gene374" "Phosphopentomutase (EC 5.4.2.7)"
"256" "Gene288" "Phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase (EC 5.3.1.16)"
"257" "Gene141" "Phosphoribosylformylglycinamidine cyclo-ligase (EC 6.3.3.1)"
"258" "Gene142" "Phosphoribosylformylglycinamidine synthase, synthetase subunit (EC 6.3.5.3)"
"259" "Gene143" "Polar-differentiation response regulator DivK"
"260" "Gene437" "Polyphosphate kinase (EC 2.7.4.1)"
"261" "Gene144" "Porphobilinogen deaminase (EC 2.5.1.61)"
"262" "Gene145" "Prephenate dehydratase (EC 4.2.1.51)"
"263" "Gene945" "Prephenate dehydratase-associated ABC transporter, permease protein 1"
"264" "Gene146" "probable iron binding protein from the HesB_IscA_SufA family"
"265" "Gene946" "Probable transcriptional regulatory protein YebC"
"266" "Gene147" "Prolyl-tRNA synthetase (EC 6.1.1.15), bacterial type"
"267" "Gene947" "protein of unknown function DUF1244"
"268" "Gene377" "Protein of unknown function DUF55"
"269" "Gene148" "Protein translocase membrane subunit SecG"
"270" "Gene149" "Protein translocase subunit SecD"
"271" "Gene150" "Protein translocase subunit SecF"
"272" "Gene378" "Protein translocase subunit SecY"
"273" "Gene151" "Protein translocase subunit YajC"
"274" "Gene152" "Protein-export protein SecB (maintains pre-export unfolded state)"
"275" "Gene153" "PTS system permease (IIAMan), nitrogen regulatory IIA protein"
"276" "Gene917" "Purine nucleoside phosphorylase (EC 2.4.2.1)"
"277" "Gene154" "Putative pre-16S rRNA nuclease YqgF"
"278" "Gene155" "Putrescine ABC transporter putrescine-binding protein PotF (TC 3.A.1.11.2)"
"279" "Gene156" "Pyridoxal 5-phosphate (PLP)-dependent ornithine decarboxylase (EC 4.1.1.17)"
"280" "Gene157" "Pyridoxal kinase (EC 2.7.1.35)"
"281" "Gene158" "Pyridoxal-5'-phosphate phosphatase (EC 3.1.3.74), Alphaproteobacterial type"
"282" "Gene475" "Pyridoxine 5'-phosphate synthase (EC 2.6.99.2)"
"283" "Gene380" "Pyrophosphate-energized proton pump (EC 3.6.1.1)"
"284" "Gene159" "Queuine tRNA-ribosyltransferase (EC 2.4.2.29)"
"285" "Gene949" "Recombination protein RecR"
"286" "Gene160" "Riboflavin synthase eubacterial/eukaryotic (EC 2.5.1.9)"
"287" "Gene293" "Ribonuclease D related protein"
"288" "Gene161" "Ribonuclease III (EC 3.1.26.3)"
"289" "Gene382" "Ribonuclease J (endonuclease and 5' exonuclease)"
"290" "Gene162" "Ribonuclease PH (EC 2.7.7.56)"
"291" "Gene163" "Ribonuclease T2 family protein"
"292" "Gene164" "Ribosomal protein L11 methyltransferase"
"293" "Gene165" "Ribosomal protein S12p Asp88 (E. coli) methylthiotransferase (EC 2.8.4.4)"
"294" "Gene167" "Ribosome association toxin RatA"
"295" "Gene294" "Ribosome hibernation promoting factor Hpf"
"296" "Gene168" "Ribosome recycling factor"
"297" "Gene1055" "Ribosome-associated heat shock protein implicated in the recycling of the 50S subunit (S4 paralog)"
"298" "Gene169" "Ribosome-binding factor A"
"299" "Gene170" "Ribulose-phosphate 3-epimerase (EC 5.1.3.1)"
"300" "Gene441" "RNA binding methyltransferase FtsJ like"
"301" "Gene925" "RNA pseudouridylate synthase"
"302" "Gene442" "S-adenosylmethionine:tRNA ribosyltransferase-isomerase (EC 2.4.99.17)"
"303" "Gene383" "SAM-dependent methyltransferase 2, in cluster with Hydroxyacylglutathione hydrolase"
"304" "Gene296" "SAM-dependent methyltransferase, MidA"
"305" "Gene171" "Sensor histidine kinase ChvG (EC 2.7.3.-)"
"306" "Gene172" "Seryl-tRNA synthetase (EC 6.1.1.11)"
"307" "Gene298" "Signal recognition particle protein Ffh"
"308" "Gene1056" "Similar to phosphoglycolate phosphatase, clustered with ribosomal large subunit pseudouridine synthase C"
"309" "Gene384" "Site-specific tyrosine recombinase XerC"
"310" "Gene299" "SSU ribosomal protein S10p (S20e)"
"311" "Gene173" "SSU ribosomal protein S12p (S23e)"
"312" "Gene1057" "SSU ribosomal protein S16p"
"313" "Gene174" "SSU ribosomal protein S18p @ SSU ribosomal protein S18p, zinc-independent"
"314" "Gene175" "SSU ribosomal protein S19p (S15e)"
"315" "Gene386" "SSU ribosomal protein S1p"
"316" "Gene176" "SSU ribosomal protein S20p"
"317" "Gene177" "SSU ribosomal protein S4p (S9e) @ SSU ribosomal protein S4p (S9e), zinc-independent"
"318" "Gene178" "SSU ribosomal protein S5p (S2e)"
"319" "Gene303" "SSU ribosomal protein S7p (S5e)"
"320" "Gene179" "SSU ribosomal protein S8p (S15Ae)"
"321" "Gene951" "SSU ribosomal protein S9p (S16e)"
"322" "Gene1058" "SSU rRNA pseudouridine(516) synthase (EC 5.4.99.19)"
"323" "Gene304" "Succinate dehydrogenase flavin-adding protein, antitoxin of CptAB toxin-antitoxin"
"324" "Gene1059" "Sugar fermentation stimulation protein SfsA"
"325" "Gene480" "Threonine synthase (EC 4.2.3.1)"
"326" "Gene180" "Threonyl-tRNA synthetase (EC 6.1.1.3)"
"327" "Gene1036" "Thymidine phosphorylase (EC 2.4.2.4)"
"328" "Gene389" "Tim44-like domain protein"
"329" "Gene181" "tmRNA-binding protein SmpB"
"330" "Gene308" "TPR domain protein"
"331" "Gene182" "Transamidase GatB domain protein"
"332" "Gene183" "Transcription elongation factor GreA"
"333" "Gene952" "Transcription elongation factor GreB"
"334" "Gene184" "Transcription termination protein NusA"
"335" "Gene309" "Transcriptional regulator, ArsR family / Methyltransferase fusion"
"336" "Gene185" "Translation elongation factor P"
"337" "Gene310" "Translation elongation factor P Lys34--(R)-beta-lysine ligase"
"338" "Gene311" "Translation elongation factor Ts"
"339" "Gene186" "Translation initiation factor 3"
"340" "Gene312" "Trehalose-6-phosphate phosphatase (EC 3.1.3.12)"
"341" "Gene187" "tRNA (cytidine(32)/uridine(32)-2'-O)-methyltransferase (EC 2.1.1.200)"
"342" "Gene315" "tRNA (guanine(46)-N(7))-methyltransferase (EC 2.1.1.33)"
"343" "Gene391" "tRNA pseudouridine(55) synthase (EC 5.4.99.25)"
"344" "Gene316" "tRNA t(6)A37-methylthiotransferase (EC 2.8.4.5)"
"345" "Gene317" "tRNA threonylcarbamoyladenosine biosynthesis protein TsaB"
"346" "Gene188" "tRNA threonylcarbamoyladenosine biosynthesis protein TsaE / Phosphotransferase involved in threonylcarbamoyladenosine t(6)A37 formation in tRNA"
"347" "Gene189" "tRNA-5-carboxymethylaminomethyl-2-thiouridine(34) synthesis protein MnmG"
"348" "Gene392" "tRNA-dihydrouridine synthase DusB"
"349" "Gene190" "tRNA-His-GTG"
"350" "Gene191" "tRNA-i(6)A37 methylthiotransferase (EC 2.8.4.3)"
"351" "Gene192" "tRNA-modifying protein YgfZ"
"352" "Gene193" "tRNA-Ser-GGA"
"353" "Gene194" "tRNA-specific 2-thiouridylase MnmA (EC 2.8.1.13)"
"354" "Gene195" "tRNA-specific adenosine-34 deaminase (EC 3.5.4.33)"
"355" "Gene196" "Tryptophan synthase alpha chain (EC 4.2.1.20)"
"356" "Gene197" "Tryptophan synthase beta chain (EC 4.2.1.20)"
"357" "Gene450" "Twin-arginine translocation protein TatC"
"358" "Gene198" "Two-component sensor histidine kinase PleC"
"359" "Gene199" "Type II restriction adenine-specific methylase (EC 2.1.1.72)"
"360" "Gene1061" "Ubiquinol-cytochrome C chaperone"
"361" "Gene319" "Ubiquinol-cytochrome C reductase, cytochrome C1 subunit"
"362" "Gene200" "UDP-2,3-diacylglucosamine pyrophosphatase"
"363" "Gene201" "UDP-N-acetylenolpyruvoylglucosamine reductase (EC 1.3.1.98)"
"364" "Gene202" "UDP-N-acetylglucosamine 1-carboxyvinyltransferase (EC 2.5.1.7)"
